"municipality","year","type","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"alutaguse vald","2000","all",3111,"EE00A","EE007",130
"alutaguse vald","2011","all",2280,"EE00A","EE007",130
"alutaguse vald","2021","all",3149,"EE00A","EE007",130
"alutaguse vald","2000","house",2046,"EE00A","EE007",130
"alutaguse vald","2011","house",1435,"EE00A","EE007",130
"alutaguse vald","2021","house",2224,"EE00A","EE007",130
"alutaguse vald","2000","flat",984,"EE00A","EE007",130
"alutaguse vald","2011","flat",840,"EE00A","EE007",130
"alutaguse vald","2021","flat",894,"EE00A","EE007",130
"anija vald","2000","all",3524,"EE001","EE001",141
"anija vald","2011","all",3430,"EE001","EE001",141
"anija vald","2021","all",3633,"EE001","EE001",141
"anija vald","2000","house",1503,"EE001","EE001",141
"anija vald","2011","house",1452,"EE001","EE001",141
"anija vald","2021","house",1675,"EE001","EE001",141
"anija vald","2000","flat",1958,"EE001","EE001",141
"anija vald","2011","flat",1972,"EE001","EE001",141
"anija vald","2021","flat",1928,"EE001","EE001",141
"antsla vald","2000","all",2676,"EE008","EE008",142
"antsla vald","2011","all",2452,"EE008","EE008",142
"antsla vald","2021","all",2669,"EE008","EE008",142
"antsla vald","2000","house",1729,"EE008","EE008",142
"antsla vald","2011","house",1619,"EE008","EE008",142
"antsla vald","2021","house",1704,"EE008","EE008",142
"antsla vald","2000","flat",878,"EE008","EE008",142
"antsla vald","2011","flat",823,"EE008","EE008",142
"antsla vald","2021","flat",915,"EE008","EE008",142
"elva vald","2000","all",7572,"EE008","EE008",171
"elva vald","2011","all",6962,"EE008","EE008",171
"elva vald","2021","all",7884,"EE008","EE008",171
"elva vald","2000","house",3996,"EE008","EE008",171
"elva vald","2011","house",3635,"EE008","EE008",171
"elva vald","2021","house",4318,"EE008","EE008",171
"elva vald","2000","flat",3377,"EE008","EE008",171
"elva vald","2011","flat",3306,"EE008","EE008",171
"elva vald","2021","flat",3469,"EE008","EE008",171
"haapsalu linn","2000","all",7579,"EE004","EE004",184
"haapsalu linn","2011","all",7556,"EE004","EE004",184
"haapsalu linn","2021","all",8224,"EE004","EE004",184
"haapsalu linn","2000","house",2182,"EE004","EE004",184
"haapsalu linn","2011","house",2190,"EE004","EE004",184
"haapsalu linn","2021","house",2545,"EE004","EE004",184
"haapsalu linn","2000","flat",5262,"EE004","EE004",184
"haapsalu linn","2011","flat",5348,"EE004","EE004",184
"haapsalu linn","2021","flat",5501,"EE004","EE004",184
"haljala vald","2000","all",2919,"EE009","EE006",191
"haljala vald","2011","all",2833,"EE009","EE006",191
"haljala vald","2021","all",3158,"EE009","EE006",191
"haljala vald","2000","house",1883,"EE009","EE006",191
"haljala vald","2011","house",1960,"EE009","EE006",191
"haljala vald","2021","house",2132,"EE009","EE006",191
"haljala vald","2000","flat",976,"EE009","EE006",191
"haljala vald","2011","flat",861,"EE009","EE006",191
"haljala vald","2021","flat",974,"EE009","EE006",191
"harku vald","2000","all",2524,"EE001","EE001",198
"harku vald","2011","all",5478,"EE001","EE001",198
"harku vald","2021","all",7125,"EE001","EE001",198
"harku vald","2000","house",1120,"EE001","EE001",198
"harku vald","2011","house",3050,"EE001","EE001",198
"harku vald","2021","house",3921,"EE001","EE001",198
"harku vald","2000","flat",1354,"EE001","EE001",198
"harku vald","2011","flat",2423,"EE001","EE001",198
"harku vald","2021","flat",3168,"EE001","EE001",198
"hiiumaa vald","2000","all",5004,"EE004","EE004",205
"hiiumaa vald","2011","all",4938,"EE004","EE004",205
"hiiumaa vald","2021","all",5467,"EE004","EE004",205
"hiiumaa vald","2000","house",3027,"EE004","EE004",205
"hiiumaa vald","2011","house",3069,"EE004","EE004",205
"hiiumaa vald","2021","house",3627,"EE004","EE004",205
"hiiumaa vald","2000","flat",1910,"EE004","EE004",205
"hiiumaa vald","2011","flat",1860,"EE004","EE004",205
"hiiumaa vald","2021","flat",1763,"EE004","EE004",205
"häädemeeste vald","2000","all",2251,"EE004","EE004",214
"häädemeeste vald","2011","all",2333,"EE004","EE004",214
"häädemeeste vald","2021","all",2633,"EE004","EE004",214
"häädemeeste vald","2000","house",1586,"EE004","EE004",214
"häädemeeste vald","2011","house",1714,"EE004","EE004",214
"häädemeeste vald","2021","house",1919,"EE004","EE004",214
"häädemeeste vald","2000","flat",623,"EE004","EE004",214
"häädemeeste vald","2011","flat",613,"EE004","EE004",214
"häädemeeste vald","2021","flat",653,"EE004","EE004",214
"järva vald","2000","all",5737,"EE009","EE006",255
"järva vald","2011","all",5238,"EE009","EE006",255
"järva vald","2021","all",5758,"EE009","EE006",255
"järva vald","2000","house",3094,"EE009","EE006",255
"järva vald","2011","house",2966,"EE009","EE006",255
"järva vald","2021","house",3086,"EE009","EE006",255
"järva vald","2000","flat",2498,"EE009","EE006",255
"järva vald","2011","flat",2242,"EE009","EE006",255
"järva vald","2021","flat",2570,"EE009","EE006",255
"jõelähtme vald","2000","all",2241,"EE001","EE001",245
"jõelähtme vald","2011","all",2940,"EE001","EE001",245
"jõelähtme vald","2021","all",3852,"EE001","EE001",245
"jõelähtme vald","2000","house",961,"EE001","EE001",245
"jõelähtme vald","2011","house",1568,"EE001","EE001",245
"jõelähtme vald","2021","house",1933,"EE001","EE001",245
"jõelähtme vald","2000","flat",1237,"EE001","EE001",245
"jõelähtme vald","2011","flat",1368,"EE001","EE001",245
"jõelähtme vald","2021","flat",1885,"EE001","EE001",245
"jõgeva vald","2000","all",7924,"EE008","EE008",247
"jõgeva vald","2011","all",7442,"EE008","EE008",247
"jõgeva vald","2021","all",7822,"EE008","EE008",247
"jõgeva vald","2000","house",3215,"EE008","EE008",247
"jõgeva vald","2011","house",3145,"EE008","EE008",247
"jõgeva vald","2021","house",3357,"EE008","EE008",247
"jõgeva vald","2000","flat",4549,"EE008","EE008",247
"jõgeva vald","2011","flat",4284,"EE008","EE008",247
"jõgeva vald","2021","flat",4380,"EE008","EE008",247
"jõhvi vald","2000","all",6726,"EE00A","EE007",251
"jõhvi vald","2011","all",6708,"EE00A","EE007",251
"jõhvi vald","2021","all",6991,"EE00A","EE007",251
"jõhvi vald","2000","house",1199,"EE00A","EE007",251
"jõhvi vald","2011","house",1202,"EE00A","EE007",251
"jõhvi vald","2021","house",1422,"EE00A","EE007",251
"jõhvi vald","2000","flat",5467,"EE00A","EE007",251
"jõhvi vald","2011","flat",5502,"EE00A","EE007",251
"jõhvi vald","2021","flat",5492,"EE00A","EE007",251
"kadrina vald","2000","all",2417,"EE009","EE006",272
"kadrina vald","2011","all",2430,"EE009","EE006",272
"kadrina vald","2021","all",2671,"EE009","EE006",272
"kadrina vald","2000","house",1124,"EE009","EE006",272
"kadrina vald","2011","house",1181,"EE009","EE006",272
"kadrina vald","2021","house",1336,"EE009","EE006",272
"kadrina vald","2000","flat",1239,"EE009","EE006",272
"kadrina vald","2011","flat",1241,"EE009","EE006",272
"kadrina vald","2021","flat",1318,"EE009","EE006",272
"kambja vald","2000","all",3067,"EE008","EE008",283
"kambja vald","2011","all",4137,"EE008","EE008",283
"kambja vald","2021","all",5964,"EE008","EE008",283
"kambja vald","2000","house",1383,"EE008","EE008",283
"kambja vald","2011","house",2308,"EE008","EE008",283
"kambja vald","2021","house",3213,"EE008","EE008",283
"kambja vald","2000","flat",1635,"EE008","EE008",283
"kambja vald","2011","flat",1817,"EE008","EE008",283
"kambja vald","2021","flat",2717,"EE008","EE008",283
"kanepi vald","2000","all",2855,"EE008","EE008",284
"kanepi vald","2011","all",2551,"EE008","EE008",284
"kanepi vald","2021","all",2774,"EE008","EE008",284
"kanepi vald","2000","house",1945,"EE008","EE008",284
"kanepi vald","2011","house",1766,"EE008","EE008",284
"kanepi vald","2021","house",1903,"EE008","EE008",284
"kanepi vald","2000","flat",851,"EE008","EE008",284
"kanepi vald","2011","flat",778,"EE008","EE008",284
"kanepi vald","2021","flat",837,"EE008","EE008",284
"kastre vald","2000","all",2359,"EE008","EE008",291
"kastre vald","2011","all",2403,"EE008","EE008",291
"kastre vald","2021","all",2965,"EE008","EE008",291
"kastre vald","2000","house",1383,"EE008","EE008",291
"kastre vald","2011","house",1522,"EE008","EE008",291
"kastre vald","2021","house",1975,"EE008","EE008",291
"kastre vald","2000","flat",937,"EE008","EE008",291
"kastre vald","2011","flat",878,"EE008","EE008",291
"kastre vald","2021","flat",964,"EE008","EE008",291
"kehtna vald","2000","all",3160,"EE009","EE006",293
"kehtna vald","2011","all",2884,"EE009","EE006",293
"kehtna vald","2021","all",3185,"EE009","EE006",293
"kehtna vald","2000","house",1390,"EE009","EE006",293
"kehtna vald","2011","house",1221,"EE009","EE006",293
"kehtna vald","2021","house",1419,"EE009","EE006",293
"kehtna vald","2000","flat",1679,"EE009","EE006",293
"kehtna vald","2011","flat",1658,"EE009","EE006",293
"kehtna vald","2021","flat",1737,"EE009","EE006",293
"keila linn","2000","all",3739,"EE001","EE001",296
"keila linn","2011","all",4071,"EE001","EE001",296
"keila linn","2021","all",4556,"EE001","EE001",296
"keila linn","2000","house",957,"EE001","EE001",296
"keila linn","2011","house",1115,"EE001","EE001",296
"keila linn","2021","house",1286,"EE001","EE001",296
"keila linn","2000","flat",2756,"EE001","EE001",296
"keila linn","2011","flat",2949,"EE001","EE001",296
"keila linn","2021","flat",3249,"EE001","EE001",296
"kihnu vald","2000","all",233,"EE004","EE004",303
"kihnu vald","2011","all",249,"EE004","EE004",303
"kihnu vald","2021","all",285,"EE004","EE004",303
"kihnu vald","2000","house",221,"EE004","EE004",303
"kihnu vald","2011","house",231,"EE004","EE004",303
"kihnu vald","2021","house",261,"EE004","EE004",303
"kihnu vald","2000","flat",12,"EE004","EE004",303
"kihnu vald","2011","flat",17,"EE004","EE004",303
"kihnu vald","2021","flat",20,"EE004","EE004",303
"kiili vald","2000","all",878,"EE001","EE001",304
"kiili vald","2011","all",1800,"EE001","EE001",304
"kiili vald","2021","all",2408,"EE001","EE001",304
"kiili vald","2000","house",513,"EE001","EE001",304
"kiili vald","2011","house",1227,"EE001","EE001",304
"kiili vald","2021","house",1617,"EE001","EE001",304
"kiili vald","2000","flat",337,"EE001","EE001",304
"kiili vald","2011","flat",569,"EE001","EE001",304
"kiili vald","2021","flat",760,"EE001","EE001",304
"kohila vald","2000","all",2678,"EE009","EE006",317
"kohila vald","2011","all",3278,"EE009","EE006",317
"kohila vald","2021","all",3605,"EE009","EE006",317
"kohila vald","2000","house",1307,"EE009","EE006",317
"kohila vald","2011","house",1878,"EE009","EE006",317
"kohila vald","2021","house",2153,"EE009","EE006",317
"kohila vald","2000","flat",1312,"EE009","EE006",317
"kohila vald","2011","flat",1391,"EE009","EE006",317
"kohila vald","2021","flat",1413,"EE009","EE006",317
"kohtla-järve linn","2000","all",22541,"EE00A","EE007",321
"kohtla-järve linn","2011","all",20549,"EE00A","EE007",321
"kohtla-järve linn","2021","all",21244,"EE00A","EE007",321
"kohtla-järve linn","2000","house",666,"EE00A","EE007",321
"kohtla-järve linn","2011","house",658,"EE00A","EE007",321
"kohtla-järve linn","2021","house",953,"EE00A","EE007",321
"kohtla-järve linn","2000","flat",21674,"EE00A","EE007",321
"kohtla-järve linn","2011","flat",19888,"EE00A","EE007",321
"kohtla-järve linn","2021","flat",20266,"EE00A","EE007",321
"kose vald","2000","all",3298,"EE001","EE001",338
"kose vald","2011","all",3364,"EE001","EE001",338
"kose vald","2021","all",3855,"EE001","EE001",338
"kose vald","2000","house",1430,"EE001","EE001",338
"kose vald","2011","house",1539,"EE001","EE001",338
"kose vald","2021","house",1883,"EE001","EE001",338
"kose vald","2000","flat",1799,"EE001","EE001",338
"kose vald","2011","flat",1808,"EE001","EE001",338
"kose vald","2021","flat",1903,"EE001","EE001",338
"kuusalu vald","2000","all",3508,"EE001","EE001",353
"kuusalu vald","2011","all",3515,"EE001","EE001",353
"kuusalu vald","2021","all",3936,"EE001","EE001",353
"kuusalu vald","2000","house",2077,"EE001","EE001",353
"kuusalu vald","2011","house",2279,"EE001","EE001",353
"kuusalu vald","2021","house",2631,"EE001","EE001",353
"kuusalu vald","2000","flat",1374,"EE001","EE001",353
"kuusalu vald","2011","flat",1224,"EE001","EE001",353
"kuusalu vald","2021","flat",1260,"EE001","EE001",353
"loksa linn","2000","all",1593,"EE001","EE001",424
"loksa linn","2011","all",1593,"EE001","EE001",424
"loksa linn","2021","all",1669,"EE001","EE001",424
"loksa linn","2000","house",189,"EE001","EE001",424
"loksa linn","2011","house",204,"EE001","EE001",424
"loksa linn","2021","house",258,"EE001","EE001",424
"loksa linn","2000","flat",1387,"EE001","EE001",424
"loksa linn","2011","flat",1387,"EE001","EE001",424
"loksa linn","2021","flat",1403,"EE001","EE001",424
"luunja vald","2000","all",1030,"EE008","EE008",432
"luunja vald","2011","all",1666,"EE008","EE008",432
"luunja vald","2021","all",2495,"EE008","EE008",432
"luunja vald","2000","house",476,"EE008","EE008",432
"luunja vald","2011","house",813,"EE008","EE008",432
"luunja vald","2021","house",1096,"EE008","EE008",432
"luunja vald","2000","flat",541,"EE008","EE008",432
"luunja vald","2011","flat",852,"EE008","EE008",432
"luunja vald","2021","flat",1388,"EE008","EE008",432
"lääne-harju vald","2000","all",6294,"EE001","EE001",431
"lääne-harju vald","2011","all",7607,"EE001","EE001",431
"lääne-harju vald","2021","all",8333,"EE001","EE001",431
"lääne-harju vald","2000","house",1841,"EE001","EE001",431
"lääne-harju vald","2011","house",2375,"EE001","EE001",431
"lääne-harju vald","2021","house",2947,"EE001","EE001",431
"lääne-harju vald","2000","flat",4358,"EE001","EE001",431
"lääne-harju vald","2011","flat",5219,"EE001","EE001",431
"lääne-harju vald","2021","flat",5323,"EE001","EE001",431
"lääne-nigula vald","2000","all",4647,"EE004","EE004",441
"lääne-nigula vald","2011","all",4033,"EE004","EE004",441
"lääne-nigula vald","2021","all",4763,"EE004","EE004",441
"lääne-nigula vald","2000","house",2674,"EE004","EE004",441
"lääne-nigula vald","2011","house",2348,"EE004","EE004",441
"lääne-nigula vald","2021","house",2604,"EE004","EE004",441
"lääne-nigula vald","2000","flat",1891,"EE004","EE004",441
"lääne-nigula vald","2011","flat",1661,"EE004","EE004",441
"lääne-nigula vald","2021","flat",1929,"EE004","EE004",441
"lääneranna vald","2000","all",4038,"EE004","EE004",430
"lääneranna vald","2011","all",3748,"EE004","EE004",430
"lääneranna vald","2021","all",4114,"EE004","EE004",430
"lääneranna vald","2000","house",2268,"EE004","EE004",430
"lääneranna vald","2011","house",2187,"EE004","EE004",430
"lääneranna vald","2021","house",2337,"EE004","EE004",430
"lääneranna vald","2000","flat",1691,"EE004","EE004",430
"lääneranna vald","2011","flat",1542,"EE004","EE004",430
"lääneranna vald","2021","flat",1720,"EE004","EE004",430
"lüganuse vald","2000","all",7006,"EE00A","EE007",442
"lüganuse vald","2011","all",5471,"EE00A","EE007",442
"lüganuse vald","2021","all",6113,"EE00A","EE007",442
"lüganuse vald","2000","house",1895,"EE00A","EE007",442
"lüganuse vald","2011","house",1599,"EE00A","EE007",442
"lüganuse vald","2021","house",1984,"EE00A","EE007",442
"lüganuse vald","2000","flat",5038,"EE00A","EE007",442
"lüganuse vald","2011","flat",3870,"EE00A","EE007",442
"lüganuse vald","2021","flat",4111,"EE00A","EE007",442
"maardu linn","2000","all",6591,"EE001","EE001",446
"maardu linn","2011","all",7746,"EE001","EE001",446
"maardu linn","2021","all",8609,"EE001","EE001",446
"maardu linn","2000","house",535,"EE001","EE001",446
"maardu linn","2011","house",1366,"EE001","EE001",446
"maardu linn","2021","house",1756,"EE001","EE001",446
"maardu linn","2000","flat",6045,"EE001","EE001",446
"maardu linn","2011","flat",6376,"EE001","EE001",446
"maardu linn","2021","flat",6817,"EE001","EE001",446
"muhu vald","2000","all",1025,"EE004","EE004",478
"muhu vald","2011","all",1062,"EE004","EE004",478
"muhu vald","2021","all",1050,"EE004","EE004",478
"muhu vald","2000","house",901,"EE004","EE004",478
"muhu vald","2011","house",974,"EE004","EE004",478
"muhu vald","2021","house",924,"EE004","EE004",478
"muhu vald","2000","flat",111,"EE004","EE004",478
"muhu vald","2011","flat",87,"EE004","EE004",478
"muhu vald","2021","flat",99,"EE004","EE004",478
"mulgi vald","2000","all",4903,"EE008","EE008",480
"mulgi vald","2011","all",4379,"EE008","EE008",480
"mulgi vald","2021","all",4832,"EE008","EE008",480
"mulgi vald","2000","house",2474,"EE008","EE008",480
"mulgi vald","2011","house",2296,"EE008","EE008",480
"mulgi vald","2021","house",2599,"EE008","EE008",480
"mulgi vald","2000","flat",2314,"EE008","EE008",480
"mulgi vald","2011","flat",2068,"EE008","EE008",480
"mulgi vald","2021","flat",2213,"EE008","EE008",480
"mustvee vald","2000","all",3959,"EE008","EE008",486
"mustvee vald","2011","all",3669,"EE008","EE008",486
"mustvee vald","2021","all",3850,"EE008","EE008",486
"mustvee vald","2000","house",3053,"EE008","EE008",486
"mustvee vald","2011","house",2901,"EE008","EE008",486
"mustvee vald","2021","house",3029,"EE008","EE008",486
"mustvee vald","2000","flat",830,"EE008","EE008",486
"mustvee vald","2011","flat",759,"EE008","EE008",486
"mustvee vald","2021","flat",772,"EE008","EE008",486
"märjamaa vald","2000","all",4650,"EE009","EE006",503
"märjamaa vald","2011","all",4214,"EE009","EE006",503
"märjamaa vald","2021","all",4695,"EE009","EE006",503
"märjamaa vald","2000","house",2839,"EE009","EE006",503
"märjamaa vald","2011","house",2567,"EE009","EE006",503
"märjamaa vald","2021","house",2917,"EE009","EE006",503
"märjamaa vald","2000","flat",1717,"EE009","EE006",503
"märjamaa vald","2011","flat",1642,"EE009","EE006",503
"märjamaa vald","2021","flat",1708,"EE009","EE006",503
"narva linn","2000","all",30331,"EE00A","EE007",511
"narva linn","2011","all",29124,"EE00A","EE007",511
"narva linn","2021","all",29497,"EE00A","EE007",511
"narva linn","2000","house",743,"EE00A","EE007",511
"narva linn","2011","house",733,"EE00A","EE007",511
"narva linn","2021","house",862,"EE00A","EE007",511
"narva linn","2000","flat",29517,"EE00A","EE007",511
"narva linn","2011","flat",28383,"EE00A","EE007",511
"narva linn","2021","flat",28587,"EE00A","EE007",511
"narva-jõesuu linn","2000","all",3518,"EE00A","EE007",514
"narva-jõesuu linn","2011","all",2893,"EE00A","EE007",514
"narva-jõesuu linn","2021","all",3463,"EE00A","EE007",514
"narva-jõesuu linn","2000","house",1441,"EE00A","EE007",514
"narva-jõesuu linn","2011","house",992,"EE00A","EE007",514
"narva-jõesuu linn","2021","house",1084,"EE00A","EE007",514
"narva-jõesuu linn","2000","flat",1991,"EE00A","EE007",514
"narva-jõesuu linn","2011","flat",1900,"EE00A","EE007",514
"narva-jõesuu linn","2021","flat",2341,"EE00A","EE007",514
"nõo vald","2000","all",1777,"EE008","EE008",528
"nõo vald","2011","all",1649,"EE008","EE008",528
"nõo vald","2021","all",1952,"EE008","EE008",528
"nõo vald","2000","house",1064,"EE008","EE008",528
"nõo vald","2011","house",1028,"EE008","EE008",528
"nõo vald","2021","house",1254,"EE008","EE008",528
"nõo vald","2000","flat",663,"EE008","EE008",528
"nõo vald","2011","flat",619,"EE008","EE008",528
"nõo vald","2021","flat",671,"EE008","EE008",528
"otepää vald","2000","all",3746,"EE008","EE008",557
"otepää vald","2011","all",3579,"EE008","EE008",557
