"municipality","year","type","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"otepää vald","2021","all",4085,"EE008","EE008",557
"otepää vald","2000","house",2319,"EE008","EE008",557
"otepää vald","2011","house",2250,"EE008","EE008",557
"otepää vald","2021","house",2688,"EE008","EE008",557
"otepää vald","2000","flat",1358,"EE008","EE008",557
"otepää vald","2011","flat",1317,"EE008","EE008",557
"otepää vald","2021","flat",1340,"EE008","EE008",557
"paide linn","2000","all",5979,"EE009","EE006",567
"paide linn","2011","all",5922,"EE009","EE006",567
"paide linn","2021","all",6363,"EE009","EE006",567
"paide linn","2000","house",1509,"EE009","EE006",567
"paide linn","2011","house",1547,"EE009","EE006",567
"paide linn","2021","house",1832,"EE009","EE006",567
"paide linn","2000","flat",4386,"EE009","EE006",567
"paide linn","2011","flat",4341,"EE009","EE006",567
"paide linn","2021","flat",4426,"EE009","EE006",567
"peipsiääre vald","2000","all",3838,"EE008","EE008",586
"peipsiääre vald","2011","all",3477,"EE008","EE008",586
"peipsiääre vald","2021","all",3762,"EE008","EE008",586
"peipsiääre vald","2000","house",2619,"EE008","EE008",586
"peipsiääre vald","2011","house",2402,"EE008","EE008",586
"peipsiääre vald","2021","house",2658,"EE008","EE008",586
"peipsiääre vald","2000","flat",1156,"EE008","EE008",586
"peipsiääre vald","2011","flat",1069,"EE008","EE008",586
"peipsiääre vald","2021","flat",1084,"EE008","EE008",586
"pärnu linn","2000","all",24051,"EE004","EE004",624
"pärnu linn","2011","all",26536,"EE004","EE004",624
"pärnu linn","2021","all",28884,"EE004","EE004",624
"pärnu linn","2000","house",6491,"EE004","EE004",624
"pärnu linn","2011","house",6835,"EE004","EE004",624
"pärnu linn","2021","house",7945,"EE004","EE004",624
"pärnu linn","2000","flat",16834,"EE004","EE004",624
"pärnu linn","2011","flat",19506,"EE004","EE004",624
"pärnu linn","2021","flat",20459,"EE004","EE004",624
"põhja-pärnumaa vald","2000","all",4649,"EE004","EE004",638
"põhja-pärnumaa vald","2011","all",4408,"EE004","EE004",638
"põhja-pärnumaa vald","2021","all",4742,"EE004","EE004",638
"põhja-pärnumaa vald","2000","house",2082,"EE004","EE004",638
"põhja-pärnumaa vald","2011","house",1943,"EE004","EE004",638
"põhja-pärnumaa vald","2021","house",2076,"EE004","EE004",638
"põhja-pärnumaa vald","2000","flat",2499,"EE004","EE004",638
"põhja-pärnumaa vald","2011","flat",2454,"EE004","EE004",638
"põhja-pärnumaa vald","2021","flat",2624,"EE004","EE004",638
"põhja-sakala vald","2000","all",4572,"EE008","EE008",615
"põhja-sakala vald","2011","all",4130,"EE008","EE008",615
"põhja-sakala vald","2021","all",4458,"EE008","EE008",615
"põhja-sakala vald","2000","house",2636,"EE008","EE008",615
"põhja-sakala vald","2011","house",2412,"EE008","EE008",615
"põhja-sakala vald","2021","house",2646,"EE008","EE008",615
"põhja-sakala vald","2000","flat",1780,"EE008","EE008",615
"põhja-sakala vald","2011","flat",1699,"EE008","EE008",615
"põhja-sakala vald","2021","flat",1755,"EE008","EE008",615
"põltsamaa vald","2000","all",5551,"EE008","EE008",618
"põltsamaa vald","2011","all",5184,"EE008","EE008",618
"põltsamaa vald","2021","all",5485,"EE008","EE008",618
"põltsamaa vald","2000","house",2606,"EE008","EE008",618
"põltsamaa vald","2011","house",2506,"EE008","EE008",618
"põltsamaa vald","2021","house",2660,"EE008","EE008",618
"põltsamaa vald","2000","flat",2844,"EE008","EE008",618
"põltsamaa vald","2011","flat",2663,"EE008","EE008",618
"põltsamaa vald","2021","flat",2770,"EE008","EE008",618
"põlva vald","2000","all",7295,"EE008","EE008",622
"põlva vald","2011","all",6780,"EE008","EE008",622
"põlva vald","2021","all",7316,"EE008","EE008",622
"põlva vald","2000","house",3391,"EE008","EE008",622
"põlva vald","2011","house",3114,"EE008","EE008",622
"põlva vald","2021","house",3543,"EE008","EE008",622
"põlva vald","2000","flat",3790,"EE008","EE008",622
"põlva vald","2011","flat",3651,"EE008","EE008",622
"põlva vald","2021","flat",3717,"EE008","EE008",622
"raasiku vald","2000","all",1877,"EE001","EE001",651
"raasiku vald","2011","all",1936,"EE001","EE001",651
"raasiku vald","2021","all",2334,"EE001","EE001",651
"raasiku vald","2000","house",1045,"EE001","EE001",651
"raasiku vald","2011","house",1121,"EE001","EE001",651
"raasiku vald","2021","house",1373,"EE001","EE001",651
"raasiku vald","2000","flat",792,"EE001","EE001",651
"raasiku vald","2011","flat",809,"EE001","EE001",651
"raasiku vald","2021","flat",937,"EE001","EE001",651
"rae vald","2000","all",3033,"EE001","EE001",653
"rae vald","2011","all",6275,"EE001","EE001",653
"rae vald","2021","all",9171,"EE001","EE001",653
"rae vald","2000","house",1171,"EE001","EE001",653
"rae vald","2011","house",2314,"EE001","EE001",653
"rae vald","2021","house",3197,"EE001","EE001",653
"rae vald","2000","flat",1823,"EE001","EE001",653
"rae vald","2011","flat",3957,"EE001","EE001",653
"rae vald","2021","flat",5947,"EE001","EE001",653
"rakvere linn","2000","all",7985,"EE009","EE006",663
"rakvere linn","2011","all",7999,"EE009","EE006",663
"rakvere linn","2021","all",8685,"EE009","EE006",663
"rakvere linn","2000","house",1985,"EE009","EE006",663
"rakvere linn","2011","house",2035,"EE009","EE006",663
"rakvere linn","2021","house",2146,"EE009","EE006",663
"rakvere linn","2000","flat",5847,"EE009","EE006",663
"rakvere linn","2011","flat",5936,"EE009","EE006",663
"rakvere linn","2021","flat",6411,"EE009","EE006",663
"rakvere vald","2000","all",2765,"EE009","EE006",661
"rakvere vald","2011","all",2804,"EE009","EE006",661
"rakvere vald","2021","all",3140,"EE009","EE006",661
"rakvere vald","2000","house",1126,"EE009","EE006",661
"rakvere vald","2011","house",1145,"EE009","EE006",661
"rakvere vald","2021","house",1380,"EE009","EE006",661
"rakvere vald","2000","flat",1603,"EE009","EE006",661
"rakvere vald","2011","flat",1657,"EE009","EE006",661
"rakvere vald","2021","flat",1718,"EE009","EE006",661
"rapla vald","2000","all",6662,"EE009","EE006",668
"rapla vald","2011","all",6385,"EE009","EE006",668
"rapla vald","2021","all",7026,"EE009","EE006",668
"rapla vald","2000","house",2799,"EE009","EE006",668
"rapla vald","2011","house",2739,"EE009","EE006",668
"rapla vald","2021","house",3398,"EE009","EE006",668
"rapla vald","2000","flat",3711,"EE009","EE006",668
"rapla vald","2011","flat",3623,"EE009","EE006",668
"rapla vald","2021","flat",3519,"EE009","EE006",668
"ruhnu vald","2000","all",60,"EE004","EE004",689
"ruhnu vald","2011","all",43,"EE004","EE004",689
"ruhnu vald","2021","all",67,"EE004","EE004",689
"ruhnu vald","2000","house",57,"EE004","EE004",689
"ruhnu vald","2011","house",39,"EE004","EE004",689
"ruhnu vald","2021","house",64,"EE004","EE004",689
"ruhnu vald","2000","flat",1,"EE004","EE004",689
"ruhnu vald","2011","flat",3,"EE004","EE004",689
"ruhnu vald","2021","flat",0,"EE004","EE004",689
"räpina vald","2000","all",3992,"EE008","EE008",708
"räpina vald","2011","all",3738,"EE008","EE008",708
"räpina vald","2021","all",3852,"EE008","EE008",708
"räpina vald","2000","house",2461,"EE008","EE008",708
"räpina vald","2011","house",2304,"EE008","EE008",708
"räpina vald","2021","house",2348,"EE008","EE008",708
"räpina vald","2000","flat",1452,"EE008","EE008",708
"räpina vald","2011","flat",1428,"EE008","EE008",708
"räpina vald","2021","flat",1464,"EE008","EE008",708
"rõuge vald","2000","all",3469,"EE008","EE008",698
"rõuge vald","2011","all",3023,"EE008","EE008",698
"rõuge vald","2021","all",3450,"EE008","EE008",698
"rõuge vald","2000","house",2495,"EE008","EE008",698
"rõuge vald","2011","house",2290,"EE008","EE008",698
"rõuge vald","2021","house",2496,"EE008","EE008",698
"rõuge vald","2000","flat",895,"EE008","EE008",698
"rõuge vald","2011","flat",725,"EE008","EE008",698
"rõuge vald","2021","flat",854,"EE008","EE008",698
"saarde vald","2000","all",3035,"EE004","EE004",712
"saarde vald","2011","all",2695,"EE004","EE004",712
"saarde vald","2021","all",2833,"EE004","EE004",712
"saarde vald","2000","house",1556,"EE004","EE004",712
"saarde vald","2011","house",1505,"EE004","EE004",712
"saarde vald","2021","house",1509,"EE004","EE004",712
"saarde vald","2000","flat",1402,"EE004","EE004",712
"saarde vald","2011","flat",1183,"EE004","EE004",712
"saarde vald","2021","flat",1283,"EE004","EE004",712
"saaremaa vald","2000","all",15369,"EE004","EE004",714
"saaremaa vald","2011","all",16095,"EE004","EE004",714
"saaremaa vald","2021","all",17404,"EE004","EE004",714
"saaremaa vald","2000","house",8533,"EE004","EE004",714
"saaremaa vald","2011","house",9101,"EE004","EE004",714
"saaremaa vald","2021","house",10010,"EE004","EE004",714
"saaremaa vald","2000","flat",6583,"EE004","EE004",714
"saaremaa vald","2011","flat",6952,"EE004","EE004",714
"saaremaa vald","2021","flat",7142,"EE004","EE004",714
"saku vald","2000","all",2786,"EE001","EE001",718
"saku vald","2011","all",3802,"EE001","EE001",718
"saku vald","2021","all",4774,"EE001","EE001",718
"saku vald","2000","house",1104,"EE001","EE001",718
"saku vald","2011","house",2093,"EE001","EE001",718
"saku vald","2021","house",2781,"EE001","EE001",718
"saku vald","2000","flat",1606,"EE001","EE001",718
"saku vald","2011","flat",1702,"EE001","EE001",718
"saku vald","2021","flat",1966,"EE001","EE001",718
"saue vald","2000","all",7227,"EE001","EE001",726
"saue vald","2011","all",9870,"EE001","EE001",726
"saue vald","2021","all",11490,"EE001","EE001",726
"saue vald","2000","house",2955,"EE001","EE001",726
"saue vald","2011","house",4934,"EE001","EE001",726
"saue vald","2021","house",5247,"EE001","EE001",726
"saue vald","2000","flat",4186,"EE001","EE001",726
"saue vald","2011","flat",4901,"EE001","EE001",726
"saue vald","2021","flat",6083,"EE001","EE001",726
"setomaa vald","2000","all",2496,"EE008","EE008",732
"setomaa vald","2011","all",1926,"EE008","EE008",732
"setomaa vald","2021","all",2269,"EE008","EE008",732
"setomaa vald","2000","house",1932,"EE008","EE008",732
"setomaa vald","2011","house",1449,"EE008","EE008",732
"setomaa vald","2021","house",1703,"EE008","EE008",732
"setomaa vald","2000","flat",546,"EE008","EE008",732
"setomaa vald","2011","flat",477,"EE008","EE008",732
"setomaa vald","2021","flat",518,"EE008","EE008",732
"sillamäe linn","2000","all",7523,"EE00A","EE007",735
"sillamäe linn","2011","all",7568,"EE00A","EE007",735
"sillamäe linn","2021","all",7768,"EE00A","EE007",735
"sillamäe linn","2000","house",10,"EE00A","EE007",735
"sillamäe linn","2011","house",16,"EE00A","EE007",735
"sillamäe linn","2021","house",38,"EE00A","EE007",735
"sillamäe linn","2000","flat",7497,"EE00A","EE007",735
"sillamäe linn","2011","flat",7551,"EE00A","EE007",735
"sillamäe linn","2021","flat",7646,"EE00A","EE007",735
"tallinn","2000","all",172745,"EE001","EE001",784
"tallinn","2011","all",195145,"EE001","EE001",784
"tallinn","2021","all",225177,"EE001","EE001",784
"tallinn","2000","house",10743,"EE001","EE001",784
"tallinn","2011","house",12232,"EE001","EE001",784
"tallinn","2021","house",14275,"EE001","EE001",784
"tallinn","2000","flat",159920,"EE001","EE001",784
"tallinn","2011","flat",182550,"EE001","EE001",784
"tallinn","2021","flat",206124,"EE001","EE001",784
"tapa vald","2000","all",7217,"EE009","EE006",792
"tapa vald","2011","all",6789,"EE009","EE006",792
"tapa vald","2021","all",7239,"EE009","EE006",792
"tapa vald","2000","house",2412,"EE009","EE006",792
"tapa vald","2011","house",2352,"EE009","EE006",792
"tapa vald","2021","house",2534,"EE009","EE006",792
"tapa vald","2000","flat",4709,"EE009","EE006",792
"tapa vald","2011","flat",4434,"EE009","EE006",792
"tapa vald","2021","flat",4629,"EE009","EE006",792
"tartu linn","2000","all",43054,"EE008","EE008",793
"tartu linn","2011","all",46470,"EE008","EE008",793
"tartu linn","2021","all",52443,"EE008","EE008",793
"tartu linn","2000","house",5255,"EE008","EE008",793
"tartu linn","2011","house",5789,"EE008","EE008",793
"tartu linn","2021","house",6747,"EE008","EE008",793
"tartu linn","2000","flat",37035,"EE008","EE008",793
"tartu linn","2011","flat",40581,"EE008","EE008",793
"tartu linn","2021","flat",44488,"EE008","EE008",793
"tartu vald","2000","all",3945,"EE008","EE008",796
"tartu vald","2011","all",4475,"EE008","EE008",796
"tartu vald","2021","all",5971,"EE008","EE008",796
"tartu vald","2000","house",2254,"EE008","EE008",796
"tartu vald","2011","house",2631,"EE008","EE008",796
"tartu vald","2021","house",3029,"EE008","EE008",796
"tartu vald","2000","flat",1607,"EE008","EE008",796
"tartu vald","2011","flat",1838,"EE008","EE008",796
"tartu vald","2021","flat",2904,"EE008","EE008",796
"toila vald","2000","all",2553,"EE00A","EE007",803
"toila vald","2011","all",2468,"EE00A","EE007",803
"toila vald","2021","all",2676,"EE00A","EE007",803
"toila vald","2000","house",1139,"EE00A","EE007",803
"toila vald","2011","house",1208,"EE00A","EE007",803
"toila vald","2021","house",1348,"EE00A","EE007",803
"toila vald","2000","flat",1392,"EE00A","EE007",803
"toila vald","2011","flat",1252,"EE00A","EE007",803
"toila vald","2021","flat",1311,"EE00A","EE007",803
"tori vald","2000","all",4603,"EE004","EE004",809
"tori vald","2011","all",5265,"EE004","EE004",809
"tori vald","2021","all",6298,"EE004","EE004",809
"tori vald","2000","house",2329,"EE004","EE004",809
"tori vald","2011","house",2984,"EE004","EE004",809
"tori vald","2021","house",3627,"EE004","EE004",809
"tori vald","2000","flat",2183,"EE004","EE004",809
"tori vald","2011","flat",2253,"EE004","EE004",809
"tori vald","2021","flat",2612,"EE004","EE004",809
"tõrva vald","2000","all",3548,"EE008","EE008",824
"tõrva vald","2011","all",3071,"EE008","EE008",824
"tõrva vald","2021","all",3532,"EE008","EE008",824
"tõrva vald","2000","house",1874,"EE008","EE008",824
"tõrva vald","2011","house",1653,"EE008","EE008",824
"tõrva vald","2021","house",1940,"EE008","EE008",824
"tõrva vald","2000","flat",1593,"EE008","EE008",824
"tõrva vald","2011","flat",1407,"EE008","EE008",824
"tõrva vald","2021","flat",1570,"EE008","EE008",824
"türi vald","2000","all",6362,"EE009","EE006",834
"türi vald","2011","all",5979,"EE009","EE006",834
"türi vald","2021","all",6399,"EE009","EE006",834
"türi vald","2000","house",2912,"EE009","EE006",834
"türi vald","2011","house",2811,"EE009","EE006",834
"türi vald","2021","house",3051,"EE009","EE006",834
"türi vald","2000","flat",3325,"EE009","EE006",834
"türi vald","2011","flat",3153,"EE009","EE006",834
"türi vald","2021","flat",3270,"EE009","EE006",834
"valga vald","2000","all",9566,"EE008","EE008",855
"valga vald","2011","all",8904,"EE008","EE008",855
"valga vald","2021","all",9516,"EE008","EE008",855
"valga vald","2000","house",3000,"EE008","EE008",855
"valga vald","2011","house",2828,"EE008","EE008",855
"valga vald","2021","house",3386,"EE008","EE008",855
"valga vald","2000","flat",6377,"EE008","EE008",855
"valga vald","2011","flat",6057,"EE008","EE008",855
"valga vald","2021","flat",6057,"EE008","EE008",855
"viimsi vald","2000","all",2912,"EE001","EE001",890
"viimsi vald","2011","all",7300,"EE001","EE001",890
"viimsi vald","2021","all",9370,"EE001","EE001",890
"viimsi vald","2000","house",1662,"EE001","EE001",890
"viimsi vald","2011","house",3588,"EE001","EE001",890
"viimsi vald","2021","house",4613,"EE001","EE001",890
"viimsi vald","2000","flat",1204,"EE001","EE001",890
"viimsi vald","2011","flat",3703,"EE001","EE001",890
"viimsi vald","2021","flat",4675,"EE001","EE001",890
"viljandi linn","2000","all",9134,"EE008","EE008",897
"viljandi linn","2011","all",8961,"EE008","EE008",897
"viljandi linn","2021","all",9744,"EE008","EE008",897
"viljandi linn","2000","house",1983,"EE008","EE008",897
"viljandi linn","2011","house",2000,"EE008","EE008",897
"viljandi linn","2021","house",2333,"EE008","EE008",897
"viljandi linn","2000","flat",6879,"EE008","EE008",897
"viljandi linn","2011","flat",6934,"EE008","EE008",897
"viljandi linn","2021","flat",7289,"EE008","EE008",897
"viljandi vald","2000","all",7358,"EE008","EE008",899
"viljandi vald","2011","all",6904,"EE008","EE008",899
"viljandi vald","2021","all",7891,"EE008","EE008",899
"viljandi vald","2000","house",4167,"EE008","EE008",899
"viljandi vald","2011","house",4135,"EE008","EE008",899
"viljandi vald","2021","house",4781,"EE008","EE008",899
"viljandi vald","2000","flat",3009,"EE008","EE008",899
"viljandi vald","2011","flat",2752,"EE008","EE008",899
"viljandi vald","2021","flat",3007,"EE008","EE008",899
"vinni vald","2000","all",4199,"EE009","EE006",901
"vinni vald","2011","all",3976,"EE009","EE006",901
"vinni vald","2021","all",4364,"EE009","EE006",901
"vinni vald","2000","house",2310,"EE009","EE006",901
"vinni vald","2011","house",2213,"EE009","EE006",901
"vinni vald","2021","house",2409,"EE009","EE006",901
"vinni vald","2000","flat",1811,"EE009","EE006",901
"vinni vald","2011","flat",1753,"EE009","EE006",901
"vinni vald","2021","flat",1921,"EE009","EE006",901
"viru-nigula vald","2000","all",4048,"EE009","EE006",903
"viru-nigula vald","2011","all",3784,"EE009","EE006",903
"viru-nigula vald","2021","all",4204,"EE009","EE006",903
"viru-nigula vald","2000","house",986,"EE009","EE006",903
"viru-nigula vald","2011","house",904,"EE009","EE006",903
"viru-nigula vald","2021","house",1105,"EE009","EE006",903
"viru-nigula vald","2000","flat",3011,"EE009","EE006",903
"viru-nigula vald","2011","flat",2870,"EE009","EE006",903
"viru-nigula vald","2021","flat",3071,"EE009","EE006",903
"vormsi vald","2000","all",221,"EE004","EE004",907
"vormsi vald","2011","all",135,"EE004","EE004",907
"vormsi vald","2021","all",251,"EE004","EE004",907
"vormsi vald","2000","house",195,"EE004","EE004",907
"vormsi vald","2011","house",113,"EE004","EE004",907
"vormsi vald","2021","house",200,"EE004","EE004",907
"vormsi vald","2000","flat",16,"EE004","EE004",907
"vormsi vald","2011","flat",20,"EE004","EE004",907
"vormsi vald","2021","flat",41,"EE004","EE004",907
"väike-maarja vald","2000","all",3776,"EE009","EE006",928
"väike-maarja vald","2011","all",3416,"EE009","EE006",928
"väike-maarja vald","2021","all",3789,"EE009","EE006",928
"väike-maarja vald","2000","house",1746,"EE009","EE006",928
"väike-maarja vald","2011","house",1653,"EE009","EE006",928
"väike-maarja vald","2021","house",1761,"EE009","EE006",928
"väike-maarja vald","2000","flat",1923,"EE009","EE006",928
"väike-maarja vald","2011","flat",1754,"EE009","EE006",928
"väike-maarja vald","2021","flat",1989,"EE009","EE006",928
"võru linn","2000","all",6871,"EE008","EE008",919
"võru linn","2011","all",6668,"EE008","EE008",919
"võru linn","2021","all",7226,"EE008","EE008",919
"võru linn","2000","house",1190,"EE008","EE008",919
"võru linn","2011","house",1217,"EE008","EE008",919
"võru linn","2021","house",1382,"EE008","EE008",919
"võru linn","2000","flat",5563,"EE008","EE008",919
"võru linn","2011","flat",5425,"EE008","EE008",919
"võru linn","2021","flat",5798,"EE008","EE008",919
"võru vald","2000","all",5444,"EE008","EE008",917
"võru vald","2011","all",5186,"EE008","EE008",917
"võru vald","2021","all",6140,"EE008","EE008",917
"võru vald","2000","house",3396,"EE008","EE008",917
"võru vald","2011","house",3351,"EE008","EE008",917
"võru vald","2021","house",4126,"EE008","EE008",917
"võru vald","2000","flat",1944,"EE008","EE008",917
"võru vald","2011","flat",1824,"EE008","EE008",917
"võru vald","2021","flat",1944,"EE008","EE008",917
