municipality,lau_name,Comment
Keila city,Keila Linn,
Loksa city,Loksa linn,
Maardu city,Maardu linn,
Paldiski city,Lääne-Harju vald,Vasalemma
Saue city,Saue vald,
Tallinn,Tallinn,
Aegviidu rural municipality,Anija vald,
Anija rural municipality,Anija vald,
Harku rural municipality,Harku vald,
Jõelähtme rural municipality,Jõelähtme vald,
Keila rural municipality,Lääne-Harju vald,
Kernu rural municipality,Saue vald,
Kiili rural municipality,Kiili vald,
Kose rural municipality,Kose vald,
Kuusalu rural municipality*,Kuusalu vald,
Kõue rural municipality,Kose vald,
Loksa rural municipality*,Kuusalu vald,
Nissi rural municipality,Saue vald,
Padise rural municipality,Lääne-Harju vald,
Raasiku rural municipality,Raasiku vald,
Rae rural municipality,Rae vald,
Saku rural municipality,Saku vald,
Saue rural municipality,Saue vald,
Vasalemma rural municipality,Lääne-Harju vald,
Viimsi rural municipality,Viimsi vald,
Kärdla city,Hiiumaa vald,
Emmaste rural municipality,Hiiumaa vald,
Kõrgessaare rural municipality,Hiiumaa vald,
Käina rural municipality,Hiiumaa vald,
Pühalepa rural municipality,Hiiumaa vald,
Jõhvi city*,Jõhvi vald,
Kiviõli city,Lüganuse vald,
Kohtla-Järve city,Kohtla-Järve linn,
Narva city,Narva Linn,
Narva-Jõesuu city,Narva-Jõesuu linn,
Püssi city,Lüganuse vald,
Sillamäe city,Sillamäe linn,
Alajõe rural municipality,Alutaguse vald,
Aseri rural municipality,Viru-Nigula vald,
Avinurme rural municipality,Mustvee vald,
Iisaku rural municipality,Alutaguse vald,
Illuka rural municipality,Alutaguse vald,
Jõhvi rural municipality*,Jõhvi vald,
Kohtla rural municipality,Toila vald,
Kohtla-Nõmme rural municipality,Toila vald,
Lohusuu rural municipality,Mustvee vald,
Lüganuse rural municipality,Lüganuse vald,
Maidla rural municipality,Lüganuse vald,
Mäetaguse rural municipality,Alutaguse vald,
Sonda rural municipality,Lüganuse vald,
Toila rural municipality,Toila vald,
Tudulinna rural municipality,Alutaguse vald,
Vaivara rural municipality,Narva-Jõesuu linn,
Jõgeva city,Jõgeva vald,
Mustvee city,Mustvee vald,
Põltsamaa city,Põltsamaa vald,
Jõgeva rural municipality,Jõgeva vald,
Kasepää rural municipality,Mustvee vald,
Pajusi rural municipality,Põltsamaa vald,
Pala rural municipality,Peipsiääre vald,
Palamuse rural municipality,Jõgeva vald,
Puurmani rural municipality,Põltsamaa vald,small part also in Jõgeva vald
Põltsamaa rural municipality,Põltsamaa vald,
Saare rural municipality,Mustvee vald,
Tabivere rural municipality,Tartu vald,
Torma rural municipality,Jõgeva vald,a small part also Mustvee vald
Paide city,Paide linn,
Türi city*,Türi vald,
Albu rural municipality,Järva vald,
Ambla rural municipality,Järva vald,
Imavere rural municipality,Järva vald,
Järva-Jaani rural municipality,Järva vald,
Kabala rural municipality*,Türi vald,
Kareda rural municipality,Järva vald,
Koeru rural municipality,Järva vald,
Koigi rural municipality,Järva vald,
Lehtse rural municipality*,Tapa vald,
Oisu rural municipality*,Türi vald,
Paide rural municipality,Paide linn,
Roosna-Alliku rural municipality,Paide linn,
Türi rural municipality*,Türi vald,
Väätsa rural municipality,Türi vald,
Haapsalu city,Haapsalu Linn,
Hanila rural municipality,Lääneranna vald,
Kullamaa rural municipality,Lääne-Nigula vald,
Lihula rural municipality,Lääneranna vald,
Martna rural municipality,Lääne-Nigula vald,
Noarootsi rural municipality,Lääne-Nigula vald,
Nõva rural municipality,Lääne-Nigula vald,
Oru rural municipality,Lääne-Nigula vald,
Ridala rural municipality,Haapsalu Linn,
Risti rural municipality,Lääne-Nigula vald,
Taebla rural municipality,Lääne-Nigula vald,
Vormsi rural municipality,Vormsi vald,
Kunda city,Viru-Nigula vald,
Rakvere city,Rakvere linn,
Tamsalu city*,Tapa vald,
Tapa city*,Tapa vald,
Avanduse rural municipality*,Väike-Maarja vald,
Haljala rural municipality,Haljala vald,
Kadrina rural municipality*,Kadrina vald,
Laekvere rural municipality,Vinni vald,
Rakke rural municipality,Väike-Maarja vald,
Rakvere rural municipality,Rakvere vald,
Rägavere rural municipality,Vinni vald,
Saksi rural municipality*,Tapa vald,
Sõmeru rural municipality,Rakvere vald,
Tamsalu rural municipality*,Tapa vald,
Tapa rural municipality*,Tapa vald,
Vihula rural municipality,Haljala vald,
Vinni rural municipality,Vinni vald,
Viru-Nigula rural municipality,Viru-Nigula vald,
Väike-Maarja rural municipality*,Väike-Maarja vald,
Põlva city,Põlva vald,
Ahja rural municipality,Põlva vald,
Kanepi rural municipality,Kanepi vald,
Kõlleste rural municipality,Kanepi vald,
Laheda rural municipality,Põlva vald,
Mikitamäe rural municipality,Setomaa vald,
Mooste rural municipality,Põlva vald,
Orava rural municipality,Võru vald,
Põlva rural municipality,Põlva vald,
Räpina rural municipality,Räpina vald,
Valgjärve rural municipality,Kanepi vald,
Vastse-Kuuste rural municipality,Põlva vald,
Veriora rural municipality,Räpina vald,
Värska rural municipality,Setomaa vald,
Kilingi-Nõmme city*,Saarde vald,
Pärnu city,Pärnu linn,
Sindi city,Tori vald,
Are rural municipality,Tori vald,
Audru rural municipality,Pärnu linn,
Halinga rural municipality,Põhja-Pärnumaa vald,
Häädemeeste rural municipality,Häädemeeste vald,
Kaisma rural municipality,Põhja-Pärnumaa vald,
Kihnu rural municipality,Kihnu vald,
Koonga rural municipality,Lääneranna vald,
Lavassaare rural municipality,Pärnu linn,
Paikuse rural municipality,Pärnu linn,
Saarde rural municipality*,Saarde vald,
Sauga rural municipality,Tori vald,
Surju rural municipality,Saarde vald,
Tahkuranna rural municipality,Häädemeeste vald,
Tali rural municipality*,Saarde vald,
Tootsi rural municipality,Põhja-Pärnumaa vald,
Tori rural municipality,Tori vald,
Tõstamaa rural municipality,Pärnu linn,
Varbla rural municipality,Lääneranna vald,
Vändra rural municipality (town),Põhja-Pärnumaa vald,
Vändra rural municipality,Põhja-Pärnumaa vald,
Juuru rural municipality,Rapla vald,
Järvakandi rural municipality,Kehtna vald,
Kaiu rural municipality,Rapla vald,
Kehtna rural municipality,Kehtna vald,
Kohila rural municipality,Kohila vald,
Käru rural municipality,Türi vald,
Märjamaa rural municipality,Märjamaa vald,
Raikküla rural municipality,Rapla vald,
Rapla rural municipality,Rapla vald,
Vigala rural municipality,Märjamaa vald,
Kuressaare city,Saaremaa vald,
Kaarma rural municipality,Saaremaa vald,
Kihelkonna rural municipality,Saaremaa vald,
Kärla rural municipality,Saaremaa vald,
Laimjala rural municipality,Saaremaa vald,
Leisi rural municipality,Saaremaa vald,
Lümanda rural municipality,Saaremaa vald,
Muhu rural municipality,Muhu vald,
Mustjala rural municipality,Saaremaa vald,
Orissaare rural municipality,Saaremaa vald,
Pihtla rural municipality,Saaremaa vald,
Pöide rural municipality,Saaremaa vald,
Ruhnu rural municipality,Ruhnu vald,
Salme rural municipality,Saaremaa vald,
Torgu rural municipality,Saaremaa vald,
Valjala rural municipality,Saaremaa vald,
Elva city,Elva vald,
Kallaste city,Peipsiääre vald,
Tartu city,Tartu Linn,
Alatskivi rural municipality,Peipsiääre vald,
Haaslava rural municipality,Kastre vald,
Kambja rural municipality,Kambja vald,
Konguta rural municipality,Elva vald,
Laeva rural municipality,Tartu vald,
Luunja rural municipality,Luunja vald,
Meeksi rural municipality,Räpina vald,
Mäksa rural municipality,Kastre vald,
Nõo rural municipality,Nõo vald,
Peipsiääre rural municipality,Peipsiääre vald,
Piirissaare rural municipality,Tartu vald,
Puhja rural municipality,Elva vald,
Rannu rural municipality,Elva vald,
Rõngu rural municipality,Elva vald,
Tartu rural municipality,Tartu vald,
Tähtvere rural municipality,Tartu Linn,
Vara rural municipality,Peipsiääre vald,
Võnnu rural municipality,Kastre vald,
Ülenurme rural municipality,Kambja vald,
Tõrva city,Tõrva vald,
Valga city,Valga vald,
Helme rural municipality,Tõrva vald,
Hummuli rural municipality,Tõrva vald,
Karula rural municipality,Valga vald,
Otepää rural municipality,Otepää vald,
Palupera rural municipality,Elva vald,
Puka rural municipality,Elva vald,
Põdrala rural municipality,Tõrva vald,
Sangaste rural municipality,Otepää vald,
Taheva rural municipality,Valga vald,
Tõlliste rural municipality,Valga vald,
Õru rural municipality,Valga vald,
Mõisaküla city,Mulgi vald,
Suure-Jaani city*,Põhja-Sakala vald,
Viljandi city,Viljandi linn,
Võhma city,Põhja-Sakala vald,
Abja rural municipality,Mulgi vald,
Halliste rural municipality,Mulgi vald,
Karksi rural municipality,Mulgi vald,
Kolga-Jaani rural municipality,Viljandi vald,
Kõo rural municipality,Põhja-Sakala vald,
Kõpu rural municipality,Põhja-Sakala vald,
Olustvere rural municipality*,Põhja-Sakala vald,
Paistu rural municipality,Viljandi vald,
Pärsti rural municipality,Viljandi vald,
Saarepeedi rural municipality,Viljandi vald,
Suure-Jaani rural municipality*,Põhja-Sakala vald,
Tarvastu rural municipality,Viljandi vald,
Vastemõisa rural municipality*,Põhja-Sakala vald,
Viiratsi rural municipality,Viljandi vald,
Võru city,Võru linn,
Antsla rural municipality,Antsla vald,
Haanja rural municipality,Rõuge vald,
Lasva rural municipality,Võru vald,
Meremäe rural municipality,Setomaa vald,
Misso rural municipality,Rõuge vald,small part also in Setomaa vald
Mõniste rural municipality,Rõuge vald,
Rõuge rural municipality,Rõuge vald,
Sõmerpalu rural municipality,Võru vald,
Urvaste rural municipality,Antsla vald,
Varstu rural municipality,Rõuge vald,
Vastseliina rural municipality,Võru vald,
Võru rural municipality,Võru vald,
