"year","observations","county","value","nuts3"
"1990","Index","Stockholm county",100,"SE110"
"1991","Index","Stockholm county",103,"SE110"
"1992","Index","Stockholm county",87,"SE110"
"1993","Index","Stockholm county",74,"SE110"
"1994","Index","Stockholm county",81,"SE110"
"1995","Index","Stockholm county",83,"SE110"
"1996","Index","Stockholm county",83,"SE110"
"1997","Index","Stockholm county",93,"SE110"
"1998","Index","Stockholm county",107,"SE110"
"1999","Index","Stockholm county",122,"SE110"
"2000","Index","Stockholm county",147,"SE110"
"2001","Index","Stockholm county",162,"SE110"
"2002","Index","Stockholm county",172,"SE110"
"2003","Index","Stockholm county",176,"SE110"
"2004","Index","Stockholm county",189,"SE110"
"2005","Index","Stockholm county",202,"SE110"
"2006","Index","Stockholm county",228,"SE110"
"2007","Index","Stockholm county",261,"SE110"
"2008","Index","Stockholm county",267,"SE110"
"2009","Index","Stockholm county",268,"SE110"
"2010","Index","Stockholm county",294,"SE110"
"2011","Index","Stockholm county",298,"SE110"
"2012","Index","Stockholm county",297,"SE110"
"2013","Index","Stockholm county",309,"SE110"
"2014","Index","Stockholm county",341,"SE110"
"2015","Index","Stockholm county",389,"SE110"
"2016","Index","Stockholm county",423,"SE110"
"2017","Index","Stockholm county",447,"SE110"
"2018","Index","Stockholm county",423,"SE110"
"2019","Index","Stockholm county",425,"SE110"
"2020","Index","Stockholm county",452,"SE110"
"2021","Index","Stockholm county",536,"SE110"
"2022","Index","Stockholm county",555,"SE110"
"2023","Index","Stockholm county",494,"SE110"
"2024","Index","Stockholm county",494,"SE110"
"1990","Index","Uppsala county",100,"SE121"
"1991","Index","Uppsala county",105,"SE121"
"1992","Index","Uppsala county",92,"SE121"
"1993","Index","Uppsala county",79,"SE121"
"1994","Index","Uppsala county",83,"SE121"
"1995","Index","Uppsala county",84,"SE121"
"1996","Index","Uppsala county",85,"SE121"
"1997","Index","Uppsala county",91,"SE121"
"1998","Index","Uppsala county",102,"SE121"
"1999","Index","Uppsala county",113,"SE121"
"2000","Index","Uppsala county",129,"SE121"
"2001","Index","Uppsala county",148,"SE121"
"2002","Index","Uppsala county",164,"SE121"
"2003","Index","Uppsala county",168,"SE121"
"2004","Index","Uppsala county",181,"SE121"
"2005","Index","Uppsala county",191,"SE121"
"2006","Index","Uppsala county",210,"SE121"
"2007","Index","Uppsala county",229,"SE121"
"2008","Index","Uppsala county",237,"SE121"
"2009","Index","Uppsala county",242,"SE121"
"2010","Index","Uppsala county",263,"SE121"
"2011","Index","Uppsala county",266,"SE121"
"2012","Index","Uppsala county",269,"SE121"
"2013","Index","Uppsala county",279,"SE121"
"2014","Index","Uppsala county",301,"SE121"
"2015","Index","Uppsala county",337,"SE121"
"2016","Index","Uppsala county",356,"SE121"
"2017","Index","Uppsala county",374,"SE121"
"2018","Index","Uppsala county",368,"SE121"
"2019","Index","Uppsala county",378,"SE121"
"2020","Index","Uppsala county",405,"SE121"
"2021","Index","Uppsala county",470,"SE121"
"2022","Index","Uppsala county",487,"SE121"
"2023","Index","Uppsala county",438,"SE121"
"2024","Index","Uppsala county",431,"SE121"
"1990","Index","Södermanland county",100,"SE122"
"1991","Index","Södermanland county",109,"SE122"
"1992","Index","Södermanland county",101,"SE122"
"1993","Index","Södermanland county",85,"SE122"
"1994","Index","Södermanland county",86,"SE122"
"1995","Index","Södermanland county",84,"SE122"
"1996","Index","Södermanland county",86,"SE122"
"1997","Index","Södermanland county",90,"SE122"
"1998","Index","Södermanland county",97,"SE122"
"1999","Index","Södermanland county",102,"SE122"
"2000","Index","Södermanland county",114,"SE122"
"2001","Index","Södermanland county",121,"SE122"
"2002","Index","Södermanland county",132,"SE122"
"2003","Index","Södermanland county",148,"SE122"
"2004","Index","Södermanland county",159,"SE122"
"2005","Index","Södermanland county",173,"SE122"
"2006","Index","Södermanland county",189,"SE122"
"2007","Index","Södermanland county",203,"SE122"
"2008","Index","Södermanland county",209,"SE122"
"2009","Index","Södermanland county",214,"SE122"
"2010","Index","Södermanland county",223,"SE122"
"2011","Index","Södermanland county",220,"SE122"
"2012","Index","Södermanland county",214,"SE122"
"2013","Index","Södermanland county",225,"SE122"
"2014","Index","Södermanland county",240,"SE122"
"2015","Index","Södermanland county",266,"SE122"
"2016","Index","Södermanland county",299,"SE122"
"2017","Index","Södermanland county",327,"SE122"
"2018","Index","Södermanland county",329,"SE122"
"2019","Index","Södermanland county",341,"SE122"
"2020","Index","Södermanland county",362,"SE122"
"2021","Index","Södermanland county",430,"SE122"
"2022","Index","Södermanland county",451,"SE122"
"2023","Index","Södermanland county",402,"SE122"
"2024","Index","Södermanland county",387,"SE122"
"1990","Index","Östergötland county",100,"SE123"
"1991","Index","Östergötland county",106,"SE123"
"1992","Index","Östergötland county",101,"SE123"
"1993","Index","Östergötland county",93,"SE123"
"1994","Index","Östergötland county",95,"SE123"
"1995","Index","Östergötland county",95,"SE123"
"1996","Index","Östergötland county",96,"SE123"
"1997","Index","Östergötland county",100,"SE123"
"1998","Index","Östergötland county",109,"SE123"
"1999","Index","Östergötland county",116,"SE123"
"2000","Index","Östergötland county",125,"SE123"
"2001","Index","Östergötland county",134,"SE123"
"2002","Index","Östergötland county",146,"SE123"
"2003","Index","Östergötland county",156,"SE123"
"2004","Index","Östergötland county",173,"SE123"
"2005","Index","Östergötland county",191,"SE123"
"2006","Index","Östergötland county",208,"SE123"
"2007","Index","Östergötland county",226,"SE123"
"2008","Index","Östergötland county",231,"SE123"
"2009","Index","Östergötland county",244,"SE123"
"2010","Index","Östergötland county",256,"SE123"
"2011","Index","Östergötland county",256,"SE123"
"2012","Index","Östergötland county",255,"SE123"
"2013","Index","Östergötland county",265,"SE123"
"2014","Index","Östergötland county",284,"SE123"
"2015","Index","Östergötland county",316,"SE123"
"2016","Index","Östergötland county",340,"SE123"
"2017","Index","Östergötland county",377,"SE123"
"2018","Index","Östergötland county",386,"SE123"
"2019","Index","Östergötland county",402,"SE123"
"2020","Index","Östergötland county",420,"SE123"
"2021","Index","Östergötland county",497,"SE123"
"2022","Index","Östergötland county",493,"SE123"
"2023","Index","Östergötland county",453,"SE123"
"2024","Index","Östergötland county",456,"SE123"
"1990","Index","Jönköping county",100,"SE211"
"1991","Index","Jönköping county",107,"SE211"
"1992","Index","Jönköping county",101,"SE211"
"1993","Index","Jönköping county",95,"SE211"
"1994","Index","Jönköping county",99,"SE211"
"1995","Index","Jönköping county",100,"SE211"
"1996","Index","Jönköping county",101,"SE211"
"1997","Index","Jönköping county",107,"SE211"
"1998","Index","Jönköping county",115,"SE211"
"1999","Index","Jönköping county",122,"SE211"
"2000","Index","Jönköping county",130,"SE211"
"2001","Index","Jönköping county",140,"SE211"
"2002","Index","Jönköping county",149,"SE211"
"2003","Index","Jönköping county",159,"SE211"
"2004","Index","Jönköping county",171,"SE211"
"2005","Index","Jönköping county",186,"SE211"
"2006","Index","Jönköping county",203,"SE211"
"2007","Index","Jönköping county",220,"SE211"
"2008","Index","Jönköping county",231,"SE211"
"2009","Index","Jönköping county",240,"SE211"
"2010","Index","Jönköping county",255,"SE211"
"2011","Index","Jönköping county",254,"SE211"
"2012","Index","Jönköping county",251,"SE211"
"2013","Index","Jönköping county",262,"SE211"
"2014","Index","Jönköping county",274,"SE211"
"2015","Index","Jönköping county",302,"SE211"
"2016","Index","Jönköping county",330,"SE211"
"2017","Index","Jönköping county",371,"SE211"
"2018","Index","Jönköping county",385,"SE211"
"2019","Index","Jönköping county",394,"SE211"
"2020","Index","Jönköping county",426,"SE211"
"2021","Index","Jönköping county",484,"SE211"
"2022","Index","Jönköping county",512,"SE211"
"2023","Index","Jönköping county",459,"SE211"
"2024","Index","Jönköping county",465,"SE211"
"1990","Index","Kronoberg county",100,"SE212"
"1991","Index","Kronoberg county",109,"SE212"
"1992","Index","Kronoberg county",106,"SE212"
"1993","Index","Kronoberg county",98,"SE212"
"1994","Index","Kronoberg county",107,"SE212"
"1995","Index","Kronoberg county",108,"SE212"
"1996","Index","Kronoberg county",109,"SE212"
"1997","Index","Kronoberg county",113,"SE212"
"1998","Index","Kronoberg county",121,"SE212"
"1999","Index","Kronoberg county",126,"SE212"
"2000","Index","Kronoberg county",132,"SE212"
"2001","Index","Kronoberg county",139,"SE212"
"2002","Index","Kronoberg county",145,"SE212"
"2003","Index","Kronoberg county",156,"SE212"
"2004","Index","Kronoberg county",171,"SE212"
"2005","Index","Kronoberg county",189,"SE212"
"2006","Index","Kronoberg county",208,"SE212"
"2007","Index","Kronoberg county",228,"SE212"
"2008","Index","Kronoberg county",236,"SE212"
"2009","Index","Kronoberg county",246,"SE212"
"2010","Index","Kronoberg county",254,"SE212"
"2011","Index","Kronoberg county",253,"SE212"
"2012","Index","Kronoberg county",251,"SE212"
"2013","Index","Kronoberg county",259,"SE212"
"2014","Index","Kronoberg county",271,"SE212"
"2015","Index","Kronoberg county",295,"SE212"
"2016","Index","Kronoberg county",325,"SE212"
"2017","Index","Kronoberg county",353,"SE212"
"2018","Index","Kronoberg county",363,"SE212"
"2019","Index","Kronoberg county",370,"SE212"
"2020","Index","Kronoberg county",390,"SE212"
"2021","Index","Kronoberg county",447,"SE212"
"2022","Index","Kronoberg county",467,"SE212"
"2023","Index","Kronoberg county",421,"SE212"
"2024","Index","Kronoberg county",420,"SE212"
"1990","Index","Counties of Kalmar och Gotland",100,"SE213"
"1991","Index","Counties of Kalmar och Gotland",112,"SE213"
"1992","Index","Counties of Kalmar och Gotland",105,"SE213"
"1993","Index","Counties of Kalmar och Gotland",97,"SE213"
"1994","Index","Counties of Kalmar och Gotland",98,"SE213"
"1995","Index","Counties of Kalmar och Gotland",100,"SE213"
"1996","Index","Counties of Kalmar och Gotland",101,"SE213"
"1997","Index","Counties of Kalmar och Gotland",104,"SE213"
"1998","Index","Counties of Kalmar och Gotland",108,"SE213"
"1999","Index","Counties of Kalmar och Gotland",115,"SE213"
"2000","Index","Counties of Kalmar och Gotland",122,"SE213"
"2001","Index","Counties of Kalmar och Gotland",129,"SE213"
"2002","Index","Counties of Kalmar och Gotland",139,"SE213"
"2003","Index","Counties of Kalmar och Gotland",150,"SE213"
"2004","Index","Counties of Kalmar och Gotland",164,"SE213"
"2005","Index","Counties of Kalmar och Gotland",176,"SE213"
"2006","Index","Counties of Kalmar och Gotland",198,"SE213"
"2007","Index","Counties of Kalmar och Gotland",213,"SE213"
"2008","Index","Counties of Kalmar och Gotland",222,"SE213"
"2009","Index","Counties of Kalmar och Gotland",231,"SE213"
"2010","Index","Counties of Kalmar och Gotland",248,"SE213"
"2011","Index","Counties of Kalmar och Gotland",245,"SE213"
"2012","Index","Counties of Kalmar och Gotland",238,"SE213"
"2013","Index","Counties of Kalmar och Gotland",243,"SE213"
"2014","Index","Counties of Kalmar och Gotland",255,"SE213"
"2015","Index","Counties of Kalmar och Gotland",269,"SE213"
"2016","Index","Counties of Kalmar och Gotland",308,"SE213"
"2017","Index","Counties of Kalmar och Gotland",333,"SE213"
"2018","Index","Counties of Kalmar och Gotland",345,"SE213"
"2019","Index","Counties of Kalmar och Gotland",353,"SE213"
"2020","Index","Counties of Kalmar och Gotland",386,"SE213"
"2021","Index","Counties of Kalmar och Gotland",435,"SE213"
"2022","Index","Counties of Kalmar och Gotland",460,"SE213"
"2023","Index","Counties of Kalmar och Gotland",423,"SE213"
"2024","Index","Counties of Kalmar och Gotland",430,"SE213"
"1990","Index","Blekinge county",100,"SE221"
"1991","Index","Blekinge county",111,"SE221"
"1992","Index","Blekinge county",109,"SE221"
"1993","Index","Blekinge county",102,"SE221"
"1994","Index","Blekinge county",106,"SE221"
"1995","Index","Blekinge county",106,"SE221"
"1996","Index","Blekinge county",107,"SE221"
"1997","Index","Blekinge county",111,"SE221"
"1998","Index","Blekinge county",115,"SE221"
"1999","Index","Blekinge county",123,"SE221"
"2000","Index","Blekinge county",135,"SE221"
"2001","Index","Blekinge county",144,"SE221"
"2002","Index","Blekinge county",150,"SE221"
"2003","Index","Blekinge county",159,"SE221"
"2004","Index","Blekinge county",169,"SE221"
"2005","Index","Blekinge county",181,"SE221"
"2006","Index","Blekinge county",198,"SE221"
"2007","Index","Blekinge county",213,"SE221"
"2008","Index","Blekinge county",220,"SE221"
"2009","Index","Blekinge county",229,"SE221"
"2010","Index","Blekinge county",241,"SE221"
"2011","Index","Blekinge county",235,"SE221"
"2012","Index","Blekinge county",230,"SE221"
"2013","Index","Blekinge county",236,"SE221"
"2014","Index","Blekinge county",242,"SE221"
"2015","Index","Blekinge county",253,"SE221"
"2016","Index","Blekinge county",287,"SE221"
"2017","Index","Blekinge county",309,"SE221"
"2018","Index","Blekinge county",331,"SE221"
"2019","Index","Blekinge county",345,"SE221"
"2020","Index","Blekinge county",365,"SE221"
"2021","Index","Blekinge county",423,"SE221"
"2022","Index","Blekinge county",432,"SE221"
"2023","Index","Blekinge county",393,"SE221"
"2024","Index","Blekinge county",386,"SE221"
"1990","Index","Skåne county",100,"SE224"
"1991","Index","Skåne county",112,"SE224"
"1992","Index","Skåne county",102,"SE224"
"1993","Index","Skåne county",90,"SE224"
"1994","Index","Skåne county",94,"SE224"
"1995","Index","Skåne county",95,"SE224"
"1996","Index","Skåne county",97,"SE224"
"1997","Index","Skåne county",104,"SE224"
"1998","Index","Skåne county",115,"SE224"
"1999","Index","Skåne county",129,"SE224"
"2000","Index","Skåne county",143,"SE224"
"2001","Index","Skåne county",155,"SE224"
"2002","Index","Skåne county",167,"SE224"
"2003","Index","Skåne county",183,"SE224"
"2004","Index","Skåne county",204,"SE224"
"2005","Index","Skåne county",227,"SE224"
"2006","Index","Skåne county",257,"SE224"
"2007","Index","Skåne county",284,"SE224"
"2008","Index","Skåne county",284,"SE224"
"2009","Index","Skåne county",290,"SE224"
"2010","Index","Skåne county",311,"SE224"
"2011","Index","Skåne county",308,"SE224"
"2012","Index","Skåne county",296,"SE224"
"2013","Index","Skåne county",302,"SE224"
"2014","Index","Skåne county",314,"SE224"
"2015","Index","Skåne county",335,"SE224"
"2016","Index","Skåne county",373,"SE224"
"2017","Index","Skåne county",408,"SE224"
"2018","Index","Skåne county",422,"SE224"
"2019","Index","Skåne county",441,"SE224"
"2020","Index","Skåne county",476,"SE224"
"2021","Index","Skåne county",562,"SE224"
"2022","Index","Skåne county",586,"SE224"
"2023","Index","Skåne county",528,"SE224"
"2024","Index","Skåne county",533,"SE224"
"1990","Index","Halland county",100,"SE231"
"1991","Index","Halland county",111,"SE231"
"1992","Index","Halland county",99,"SE231"
"1993","Index","Halland county",89,"SE231"
"1994","Index","Halland county",92,"SE231"
"1995","Index","Halland county",93,"SE231"
"1996","Index","Halland county",94,"SE231"
"1997","Index","Halland county",99,"SE231"
"1998","Index","Halland county",110,"SE231"
"1999","Index","Halland county",118,"SE231"
"2000","Index","Halland county",130,"SE231"
"2001","Index","Halland county",141,"SE231"
"2002","Index","Halland county",148,"SE231"
"2003","Index","Halland county",162,"SE231"
"2004","Index","Halland county",188,"SE231"
"2005","Index","Halland county",210,"SE231"
"2006","Index","Halland county",231,"SE231"
"2007","Index","Halland county",252,"SE231"
"2008","Index","Halland county",261,"SE231"
"2009","Index","Halland county",265,"SE231"
"2010","Index","Halland county",285,"SE231"
"2011","Index","Halland county",288,"SE231"
"2012","Index","Halland county",281,"SE231"
"2013","Index","Halland county",292,"SE231"
"2014","Index","Halland county",306,"SE231"
"2015","Index","Halland county",335,"SE231"
"2016","Index","Halland county",361,"SE231"
"2017","Index","Halland county",392,"SE231"
"2018","Index","Halland county",395,"SE231"
"2019","Index","Halland county",409,"SE231"
"2020","Index","Halland county",445,"SE231"
"2021","Index","Halland county",519,"SE231"
"2022","Index","Halland county",541,"SE231"
"2023","Index","Halland county",484,"SE231"
"2024","Index","Halland county",499,"SE231"
"1990","Index","Västra Götaland county",100,"SE232"
"1991","Index","Västra Götaland county",106,"SE232"
"1992","Index","Västra Götaland county",94,"SE232"
"1993","Index","Västra Götaland county",83,"SE232"
"1994","Index","Västra Götaland county",86,"SE232"
"1995","Index","Västra Götaland county",87,"SE232"
"1996","Index","Västra Götaland county",87,"SE232"
"1997","Index","Västra Götaland county",94,"SE232"
"1998","Index","Västra Götaland county",102,"SE232"
"1999","Index","Västra Götaland county",111,"SE232"
"2000","Index","Västra Götaland county",121,"SE232"
"2001","Index","Västra Götaland county",129,"SE232"
"2002","Index","Västra Götaland county",138,"SE232"
"2003","Index","Västra Götaland county",153,"SE232"
"2004","Index","Västra Götaland county",171,"SE232"
