"Residential and non-residential floor space within localities, by region by region, type of property, observations and every fifth year",,,,,,,,,,,
0761 Lessebo,one- or two dwelling buildings,294,296,297,302,307,..,..,..,..,..
0761 Lessebo,multi-dwelling and commercial buildings,73,70,71,67,68,40,37,81,65,62
0761 Lessebo,industrial buildings,..,..,..,..,..,128,159,190,162,162
0761 Lessebo,total,366,366,368,369,375,167,196,271,228,224
0763 Tingsryd,one- or two dwelling buildings,315,320,325,322,326,..,..,..,..,..
0763 Tingsryd,multi-dwelling and commercial buildings,104,103,108,97,99,67,69,72,68,69
0763 Tingsryd,industrial buildings,..,..,..,..,..,267,270,310,311,316
0763 Tingsryd,total,419,423,433,420,425,334,339,382,379,386
0764 Alvesta,one- or two dwelling buildings,446,450,458,465,478,..,..,..,..,..
0764 Alvesta,multi-dwelling and commercial buildings,151,154,156,148,159,88,90,89,81,80
0764 Alvesta,industrial buildings,..,..,..,..,..,383,403,397,410,425
0764 Alvesta,total,597,604,614,614,638,471,492,486,491,505
0765 Älmhult,one- or two dwelling buildings,352,360,381,378,417,..,..,..,..,..
0765 Älmhult,multi-dwelling and commercial buildings,138,143,147,153,183,143,152,162,183,210
0765 Älmhult,industrial buildings,..,..,..,..,..,609,621,659,662,675
0765 Älmhult,total,490,503,528,531,600,752,774,821,845,886
0767 Markaryd,one- or two dwelling buildings,285,286,294,296,310,..,..,..,..,..
0767 Markaryd,multi-dwelling and commercial buildings,97,101,103,99,102,49,57,68,69,67
0767 Markaryd,industrial buildings,..,..,..,..,..,356,376,415,359,431
0767 Markaryd,total,382,387,398,395,412,404,433,483,429,498
0780 Växjö,one- or two dwelling buildings,1601,1680,1799,1894,1984,..,..,..,..,..
0780 Växjö,multi-dwelling and commercial buildings,1240,1347,1442,1505,1703,765,856,907,904,975
0780 Växjö,industrial buildings,..,..,..,2,2,900,972,1015,965,1088
0780 Växjö,total,2841,3027,3240,3401,3689,1665,1828,1921,1869,2063
0781 Ljungby,one- or two dwelling buildings,569,585,605,603,631,..,..,..,..,..
0781 Ljungby,multi-dwelling and commercial buildings,293,301,310,325,330,155,159,172,190,196
0781 Ljungby,industrial buildings,..,..,..,..,..,559,613,675,685,716
0781 Ljungby,total,862,887,915,927,962,714,772,847,875,912
0821 Högsby,one- or two dwelling buildings,191,192,192,192,175,..,..,..,..,..
0821 Högsby,multi-dwelling and commercial buildings,32,33,33,33,32,22,29,32,34,34
0821 Högsby,industrial buildings,..,..,..,..,..,129,98,98,97,96
0821 Högsby,total,224,225,226,225,206,151,128,130,131,131
0834 Torsås,one- or two dwelling buildings,154,165,162,176,188,..,..,..,..,..
0834 Torsås,multi-dwelling and commercial buildings,39,38,40,42,42,29,30,30,24,24
0834 Torsås,industrial buildings,..,..,..,..,..,91,99,100,113,114
0834 Torsås,total,193,202,201,217,230,120,129,130,137,138
0840 Mörbylånga,one- or two dwelling buildings,405,399,428,581,642,..,..,..,..,..
0840 Mörbylånga,multi-dwelling and commercial buildings,57,58,64,68,75,51,54,55,70,73
0840 Mörbylånga,industrial buildings,..,..,..,1,1,81,76,79,90,110
0840 Mörbylånga,total,462,457,492,649,717,132,130,134,160,183
0860 Hultsfred,one- or two dwelling buildings,471,472,474,486,490,..,..,..,..,..
0860 Hultsfred,multi-dwelling and commercial buildings,160,158,157,142,150,69,72,85,69,73
0860 Hultsfred,industrial buildings,..,..,..,..,..,487,478,502,515,469
0860 Hultsfred,total,630,630,631,628,640,556,550,587,584,541
0861 Mönsterås,one- or two dwelling buildings,341,346,351,414,428,..,..,..,..,..
0861 Mönsterås,multi-dwelling and commercial buildings,109,110,110,100,108,49,51,55,57,61
0861 Mönsterås,industrial buildings,..,..,..,..,..,157,161,167,163,169
0861 Mönsterås,total,451,455,461,514,536,206,211,223,220,230
0862 Emmaboda,one- or two dwelling buildings,281,284,276,275,259,..,..,..,..,..
0862 Emmaboda,multi-dwelling and commercial buildings,88,90,85,86,85,59,61,62,62,60
0862 Emmaboda,industrial buildings,..,..,..,..,..,269,266,255,249,259
0862 Emmaboda,total,369,374,361,361,344,328,327,317,311,320
0880 Kalmar,one- or two dwelling buildings,1175,1224,1299,1384,1471,..,..,..,..,..
0880 Kalmar,multi-dwelling and commercial buildings,1109,1135,1174,1223,1361,527,563,681,693,668
0880 Kalmar,industrial buildings,..,..,..,..,..,656,650,721,719,746
0880 Kalmar,total,2284,2359,2473,2607,2831,1183,1214,1402,1411,1414
0881 Nybro,one- or two dwelling buildings,486,491,487,492,502,..,..,..,..,..
0881 Nybro,multi-dwelling and commercial buildings,256,257,264,266,271,107,114,116,120,145
0881 Nybro,industrial buildings,..,..,..,..,..,454,486,496,496,438
0881 Nybro,total,742,747,751,759,773,561,600,613,616,583
0882 Oskarshamn,one- or two dwelling buildings,615,620,644,660,696,..,..,..,..,..
0882 Oskarshamn,multi-dwelling and commercial buildings,408,407,414,419,432,190,193,189,207,223
0882 Oskarshamn,industrial buildings,..,..,..,..,..,357,384,412,458,473
0882 Oskarshamn,total,1024,1026,1059,1078,1129,546,577,601,665,696
0883 Västervik,one- or two dwelling buildings,762,780,803,836,880,..,..,..,..,..
0883 Västervik,multi-dwelling and commercial buildings,585,584,585,587,602,200,213,245,270,278
0883 Västervik,industrial buildings,..,..,..,..,..,522,538,566,587,589
0883 Västervik,total,1347,1364,1388,1423,1482,722,752,811,856,867
0884 Vimmerby,one- or two dwelling buildings,354,356,365,367,377,..,..,..,..,..
0884 Vimmerby,multi-dwelling and commercial buildings,168,167,170,173,178,122,131,140,154,152
0884 Vimmerby,industrial buildings,..,..,..,..,..,382,380,389,384,443
0884 Vimmerby,total,521,523,535,541,555,504,511,529,538,596
0885 Borgholm,one- or two dwelling buildings,188,195,203,366,399,..,..,..,..,..
0885 Borgholm,multi-dwelling and commercial buildings,79,80,84,89,99,74,80,80,85,96
0885 Borgholm,industrial buildings,..,..,..,..,..,37,39,41,38,43
0885 Borgholm,total,267,276,288,455,498,112,118,121,122,138
0980 Gotland,one- or two dwelling buildings,844,876,918,1088,1156,..,..,..,..,..
0980 Gotland,multi-dwelling and commercial buildings,571,584,648,696,773,352,380,469,514,531
0980 Gotland,industrial buildings,..,..,..,..,..,460,487,511,534,531
0980 Gotland,total,1414,1460,1566,1784,1929,811,867,980,1048,1062
1060 Olofström,one- or two dwelling buildings,333,339,345,355,360,..,..,..,..,..
1060 Olofström,multi-dwelling and commercial buildings,160,154,153,157,159,97,94,94,82,90
1060 Olofström,industrial buildings,..,..,..,..,..,434,444,451,455,482
1060 Olofström,total,493,493,498,512,519,531,538,545,538,572
1080 Karlskrona,one- or two dwelling buildings,1206,1266,1343,1505,1609,..,..,..,..,..
1080 Karlskrona,multi-dwelling and commercial buildings,947,957,986,998,1022,481,509,547,573,584
1080 Karlskrona,industrial buildings,..,..,..,..,..,473,485,487,502,518
1080 Karlskrona,total,2153,2223,2328,2503,2631,954,994,1033,1075,1102
1081 Ronneby,one- or two dwelling buildings,657,678,703,806,830,..,..,..,..,..
1081 Ronneby,multi-dwelling and commercial buildings,313,320,332,312,313,157,178,172,189,188
1081 Ronneby,industrial buildings,..,..,..,..,..,407,402,419,416,397
1081 Ronneby,total,970,998,1035,1118,1143,564,580,591,605,585
1082 Karlshamn,one- or two dwelling buildings,753,768,787,850,858,..,..,..,..,..
1082 Karlshamn,multi-dwelling and commercial buildings,434,440,449,457,462,198,195,208,219,230
1082 Karlshamn,industrial buildings,..,..,..,..,..,374,360,364,423,423
1082 Karlshamn,total,1188,1208,1236,1307,1319,573,555,572,642,653
1083 Sölvesborg,one- or two dwelling buildings,457,482,498,658,671,..,..,..,..,..
1083 Sölvesborg,multi-dwelling and commercial buildings,147,145,153,157,168,79,78,76,87,96
1083 Sölvesborg,industrial buildings,..,..,..,..,..,246,256,256,270,290
1083 Sölvesborg,total,605,627,651,816,839,325,335,332,356,385
1214 Svalöv,one- or two dwelling buildings,307,317,335,347,357,..,..,..,..,..
1214 Svalöv,multi-dwelling and commercial buildings,74,77,78,82,83,57,47,46,46,46
1214 Svalöv,industrial buildings,..,..,..,..,..,102,106,105,109,116
1214 Svalöv,total,381,394,413,429,440,159,152,152,155,162
1230 Staffanstorp,one- or two dwelling buildings,620,652,715,751,845,..,..,..,..,..
1230 Staffanstorp,multi-dwelling and commercial buildings,161,177,191,204,223,63,78,88,102,109
1230 Staffanstorp,industrial buildings,..,..,..,1,2,199,227,238,252,278
1230 Staffanstorp,total,781,829,905,956,1069,262,305,326,354,387
1231 Burlöv,one- or two dwelling buildings,368,374,388,403,426,..,..,..,..,..
1231 Burlöv,multi-dwelling and commercial buildings,261,261,274,278,319,84,94,160,180,186
1231 Burlöv,industrial buildings,..,..,..,..,..,392,397,484,505,557
1231 Burlöv,total,628,635,661,681,745,476,491,644,685,742
1233 Vellinge,one- or two dwelling buildings,1424,1510,1611,1733,1847,..,..,..,..,..
1233 Vellinge,multi-dwelling and commercial buildings,134,167,169,184,216,75,87,80,90,93
1233 Vellinge,industrial buildings,..,..,..,..,..,99,101,108,127,137
1233 Vellinge,total,1559,1677,1781,1918,2063,175,188,188,218,230
1256 Östra Göinge,one- or two dwelling buildings,408,413,406,417,425,..,..,..,..,..
1256 Östra Göinge,multi-dwelling and commercial buildings,124,123,123,124,128,55,62,61,52,53
1256 Östra Göinge,industrial buildings,..,..,..,..,..,308,325,329,318,314
1256 Östra Göinge,total,532,536,529,541,553,363,387,390,370,367
1257 Örkelljunga,one- or two dwelling buildings,236,240,254,287,292,..,..,..,..,..
1257 Örkelljunga,multi-dwelling and commercial buildings,85,84,85,88,93,41,40,37,43,52
1257 Örkelljunga,industrial buildings,..,..,..,..,..,193,195,219,204,222
1257 Örkelljunga,total,321,324,340,375,386,235,234,255,247,274
1260 Bjuv,one- or two dwelling buildings,456,470,493,505,516,..,..,..,..,..
1260 Bjuv,multi-dwelling and commercial buildings,119,113,111,112,120,64,69,75,73,68
1260 Bjuv,industrial buildings,..,..,..,..,..,431,444,456,448,481
1260 Bjuv,total,575,583,605,616,636,496,513,531,522,549
1261 Kävlinge,one- or two dwelling buildings,814,906,976,1059,1122,..,..,..,..,..
1261 Kävlinge,multi-dwelling and commercial buildings,184,198,213,226,247,103,152,151,165,165
1261 Kävlinge,industrial buildings,..,..,..,..,..,209,228,188,178,185
1261 Kävlinge,total,998,1104,1189,1285,1370,312,381,338,343,349
1262 Lomma,one- or two dwelling buildings,666,713,793,838,870,..,..,..,..,..
1262 Lomma,multi-dwelling and commercial buildings,138,145,195,234,273,39,41,51,65,81
1262 Lomma,industrial buildings,..,..,..,..,..,101,92,95,104,114
1262 Lomma,total,804,858,988,1072,1143,140,132,147,169,195
1263 Svedala,one- or two dwelling buildings,513,548,586,620,682,..,..,..,..,..
1263 Svedala,multi-dwelling and commercial buildings,128,131,146,157,173,46,50,50,64,59
1263 Svedala,industrial buildings,..,..,..,..,..,154,157,167,179,181
1263 Svedala,total,641,679,732,778,855,200,207,217,243,241
1264 Skurup,one- or two dwelling buildings,389,411,436,468,492,..,..,..,..,..
1264 Skurup,multi-dwelling and commercial buildings,79,81,86,91,98,39,34,38,41,46
1264 Skurup,industrial buildings,..,..,..,..,..,110,114,132,147,165
1264 Skurup,total,469,491,521,560,590,149,148,170,188,211
1265 Sjöbo,one- or two dwelling buildings,373,451,477,527,553,..,..,..,..,..
1265 Sjöbo,multi-dwelling and commercial buildings,85,84,87,89,97,50,51,55,62,73
1265 Sjöbo,industrial buildings,..,..,..,..,..,108,113,128,140,138
1265 Sjöbo,total,458,536,564,616,651,158,164,183,201,211
1266 Hörby,one- or two dwelling buildings,259,274,311,331,343,..,..,..,..,..
1266 Hörby,multi-dwelling and commercial buildings,98,103,107,113,115,38,42,44,64,64
1266 Hörby,industrial buildings,..,..,..,..,..,72,86,100,114,128
1266 Hörby,total,357,377,417,444,458,110,128,144,178,193
1267 Höör,one- or two dwelling buildings,406,417,444,531,564,..,..,..,..,..
1267 Höör,multi-dwelling and commercial buildings,91,92,94,101,106,61,62,76,81,82
1267 Höör,industrial buildings,..,..,..,..,..,129,145,158,160,157
1267 Höör,total,497,508,539,632,670,190,207,234,241,239
1270 Tomelilla,one- or two dwelling buildings,306,305,316,360,375,..,..,..,..,..
1270 Tomelilla,multi-dwelling and commercial buildings,112,108,104,97,103,69,79,72,74,72
1270 Tomelilla,industrial buildings,..,..,..,..,..,155,165,174,182,194
1270 Tomelilla,total,418,413,420,458,478,224,244,247,257,266
1272 Bromölla,one- or two dwelling buildings,362,372,388,417,424,..,..,..,..,..
1272 Bromölla,multi-dwelling and commercial buildings,91,96,94,96,106,69,77,78,82,85
1272 Bromölla,industrial buildings,..,..,..,..,..,279,289,460,459,428
1272 Bromölla,total,453,468,482,512,530,348,366,538,541,513
1273 Osby,one- or two dwelling buildings,353,358,365,381,388,..,..,..,..,..
1273 Osby,multi-dwelling and commercial buildings,120,116,121,122,125,48,50,55,67,56
1273 Osby,industrial buildings,..,..,..,..,..,357,364,380,393,394
1273 Osby,total,473,475,486,503,512,405,414,435,460,450
1275 Perstorp,one- or two dwelling buildings,152,154,157,161,162,..,..,..,..,..
1275 Perstorp,multi-dwelling and commercial buildings,111,103,104,105,106,45,43,43,40,40
1275 Perstorp,industrial buildings,..,..,..,..,..,259,261,266,266,265
1275 Perstorp,total,262,257,261,265,268,304,304,309,306,305
1276 Klippan,one- or two dwelling buildings,386,395,398,420,421,..,..,..,..,..
1276 Klippan,multi-dwelling and commercial buildings,193,186,184,189,272,84,83,85,91,202
1276 Klippan,industrial buildings,..,..,..,..,..,271,304,307,285,264
1276 Klippan,total,579,581,582,609,693,355,387,392,376,466
1277 Åstorp,one- or two dwelling buildings,410,425,449,461,475,..,..,..,..,..
1277 Åstorp,multi-dwelling and commercial buildings,139,139,143,147,153,80,129,153,153,154
1277 Åstorp,industrial buildings,..,..,..,..,..,317,339,414,481,549
1277 Åstorp,total,549,564,592,608,629,397,469,567,633,703
1278 Båstad,one- or two dwelling buildings,596,635,675,848,905,..,..,..,..,..
1278 Båstad,multi-dwelling and commercial buildings,92,96,99,110,138,70,76,80,115,107
1278 Båstad,industrial buildings,..,..,..,1,1,159,173,176,194,209
1278 Båstad,total,689,731,774,959,1043,229,249,256,309,316
1280 Malmö,one- or two dwelling buildings,2941,3108,3330,3535,3698,..,..,..,..,..
1280 Malmö,multi-dwelling and commercial buildings,7820,7985,8387,8809,9606,2996,3201,3495,4377,4897
1280 Malmö,industrial buildings,..,..,..,4,4,3505,3476,3445,3270,3281
1280 Malmö,total,10761,11094,11717,12348,13307,6502,6678,6941,7646,8178
1281 Lund,one- or two dwelling buildings,1785,1897,2022,2168,2265,..,..,..,..,..
1281 Lund,multi-dwelling and commercial buildings,2173,2231,2411,2544,2746,764,975,1114,1241,1371
1281 Lund,industrial buildings,..,..,..,..,..,880,884,902,886,889
1281 Lund,total,3958,4128,4433,4712,5011,1644,1858,2016,2128,2260
1282 Landskrona,one- or two dwelling buildings,665,712,754,857,916,..,..,..,..,..
1282 Landskrona,multi-dwelling and commercial buildings,873,883,900,900,940,236,235,250,283,324
1282 Landskrona,industrial buildings,..,..,..,..,..,734,760,728,751,796
1282 Landskrona,total,1538,1594,1654,1757,1857,970,995,978,1033,1120
1283 Helsingborg,one- or two dwelling buildings,2168,2306,2446,2593,2752,..,..,..,..,..
1283 Helsingborg,multi-dwelling and commercial buildings,2796,2853,2936,3049,3284,1098,1197,1283,1451,1551
1283 Helsingborg,industrial buildings,..,..,1,1,1,1892,1903,1919,1947,2086
1283 Helsingborg,total,4965,5159,5383,5643,6037,2990,3100,3201,3397,3637
1284 Höganäs,one- or two dwelling buildings,900,968,1015,1114,1171,..,..,..,..,..
1284 Höganäs,multi-dwelling and commercial buildings,175,182,197,217,244,92,97,99,120,116
1284 Höganäs,industrial buildings,..,..,..,3,3,303,325,340,341,374
1284 Höganäs,total,1075,1150,1212,1334,1419,395,422,439,461,490
1285 Eslöv,one- or two dwelling buildings,622,685,724,757,767,..,..,..,..,..
1285 Eslöv,multi-dwelling and commercial buildings,354,361,376,386,416,136,140,143,151,152
1285 Eslöv,industrial buildings,..,..,..,..,..,431,458,543,561,563
1285 Eslöv,total,976,1045,1099,1143,1183,567,598,686,712,715
1286 Ystad,one- or two dwelling buildings,580,625,671,776,832,..,..,..,..,..
1286 Ystad,multi-dwelling and commercial buildings,419,430,462,475,505,170,182,207,235,237
1286 Ystad,industrial buildings,..,..,1,1,1,364,330,350,364,381
1286 Ystad,total,999,1055,1134,1252,1337,534,511,557,599,618
1287 Trelleborg,one- or two dwelling buildings,840,906,996,1169,1242,..,..,..,..,..
1287 Trelleborg,multi-dwelling and commercial buildings,558,566,566,586,608,224,231,206,221,234
1287 Trelleborg,industrial buildings,..,..,..,..,..,491,524,566,567,553
1287 Trelleborg,total,1398,1472,1563,1756,1850,715,755,772,789,787
1290 Kristianstad,one- or two dwelling buildings,1796,1867,1963,2217,2367,..,..,..,..,..
1290 Kristianstad,multi-dwelling and commercial buildings,1235,1054,1076,1104,1162,553,611,634,657,715
1290 Kristianstad,industrial buildings,..,..,..,8,8,886,954,995,1012,1061
1290 Kristianstad,total,3031,2920,3039,3328,3536,1439,1565,1628,1669,1776
1291 Simrishamn,one- or two dwelling buildings,593,596,630,730,766,..,..,..,..,..
1291 Simrishamn,multi-dwelling and commercial buildings,205,206,208,197,207,99,111,114,115,124
1291 Simrishamn,industrial buildings,..,..,..,..,..,268,272,277,279,280
1291 Simrishamn,total,798,802,838,927,973,367,382,391,394,404
1292 Ängelholm,one- or two dwelling buildings,982,1038,1084,1200,1270,..,..,..,..,..
1292 Ängelholm,multi-dwelling and commercial buildings,462,486,504,540,564,194,216,232,287,300
1292 Ängelholm,industrial buildings,..,..,..,..,..,328,339,373,441,524
1292 Ängelholm,total,1443,1524,1588,1740,1835,522,555,605,728,824
1293 Hässleholm,one- or two dwelling buildings,1254,1289,1323,1379,1407,..,..,..,..,..
1293 Hässleholm,multi-dwelling and commercial buildings,540,545,561,581,601,265,305,324,353,365
1293 Hässleholm,industrial buildings,..,..,..,1,1,826,885,964,985,1030
1293 Hässleholm,total,1794,1834,1884,1962,2008,1091,1190,1288,1338,1395
1315 Hylte,one- or two dwelling buildings,258,258,258,260,262,..,..,..,..,..
1315 Hylte,multi-dwelling and commercial buildings,77,77,77,78,80,40,54,54,53,46
1315 Hylte,industrial buildings,..,..,..,..,..,322,371,405,422,404
1315 Hylte,total,335,335,335,338,342,363,424,459,475,450
1380 Halmstad,one- or two dwelling buildings,2121,2365,2452,2702,2802,..,..,..,..,..
1380 Halmstad,multi-dwelling and commercial buildings,1400,1360,1504,1577,1742,671,756,821,906,961
1380 Halmstad,industrial buildings,..,..,..,1,1,1377,1449,1616,1582,1658
1380 Halmstad,total,3521,3724,3956,4280,4544,2048,2204,2438,2488,2619
1381 Laholm,one- or two dwelling buildings,673,701,723,955,1010,..,..,..,..,..
1381 Laholm,multi-dwelling and commercial buildings,116,120,123,127,140,93,105,92,107,117
1381 Laholm,industrial buildings,..,..,..,..,..,278,298,328,365,371
1381 Laholm,total,789,821,846,1082,1150,370,403,420,472,488
1382 Falkenberg,one- or two dwelling buildings,933,962,1030,1260,1401,..,..,..,..,..
1382 Falkenberg,multi-dwelling and commercial buildings,395,406,423,467,534,224,262,302,396,452
1382 Falkenberg,industrial buildings,..,..,..,3,3,672,707,768,852,944
1382 Falkenberg,total,1328,1368,1452,1729,1938,896,969,1070,1248,1396
1383 Varberg,one- or two dwelling buildings,964,1039,1128,1577,1710,..,..,..,..,..
1383 Varberg,multi-dwelling and commercial buildings,719,736,793,853,928,268,291,334,388,487
1383 Varberg,industrial buildings,..,..,..,..,3,620,644,671,804,819
1383 Varberg,total,1683,1775,1921,2431,2641,887,935,1005,1192,1306
1384 Kungsbacka,one- or two dwelling buildings,1860,2119,2376,2791,2986,..,..,..,..,..
1384 Kungsbacka,multi-dwelling and commercial buildings,452,483,494,565,647,255,312,352,365,434
1384 Kungsbacka,industrial buildings,..,..,..,..,..,322,396,411,471,508
1384 Kungsbacka,total,2312,2602,2870,3356,3633,577,708,763,837,942
1401 Härryda,one- or two dwelling buildings,865,944,1016,1152,1214,..,..,..,..,..
1401 Härryda,multi-dwelling and commercial buildings,177,192,221,257,289,64,78,75,100,107
1401 Härryda,industrial buildings,..,..,..,..,..,214,227,241,337,384
1401 Härryda,total,1041,1136,1237,1408,1502,277,305,316,437,491
1402 Partille,one- or two dwelling buildings,801,831,875,919,954,..,..,..,..,..
1402 Partille,multi-dwelling and commercial buildings,500,494,541,568,621,151,167,244,225,245
1402 Partille,industrial buildings,..,..,..,..,..,276,275,278,282,295
1402 Partille,total,1301,1325,1416,1487,1575,427,442,522,507,539
1407 Öckerö,one- or two dwelling buildings,494,525,551,583,609,..,..,..,..,..
1407 Öckerö,multi-dwelling and commercial buildings,20,21,27,29,39,21,25,31,39,40
1407 Öckerö,industrial buildings,..,..,4,5,5,32,43,56,60,66
1407 Öckerö,total,514,546,581,617,654,53,68,87,99,107
1415 Stenungsund,one- or two dwelling buildings,461,530,572,702,742,..,..,..,..,..
1415 Stenungsund,multi-dwelling and commercial buildings,203,210,235,264,282,143,160,184,219,225
1415 Stenungsund,industrial buildings,..,..,..,..,..,220,244,266,310,332
1415 Stenungsund,total,664,739,807,966,1024,363,404,449,530,557
1419 Tjörn,one- or two dwelling buildings,381,418,435,642,652,..,..,..,..,..
1419 Tjörn,multi-dwelling and commercial buildings,45,44,49,61,84,35,43,43,51,50
1419 Tjörn,industrial buildings,..,..,..,..,..,68,69,84,112,108
1419 Tjörn,total,425,462,485,703,736,103,112,127,163,158
1421 Orust,one- or two dwelling buildings,229,243,264,376,390,..,..,..,..,..
1421 Orust,multi-dwelling and commercial buildings,58,57,64,66,67,32,35,37,37,39
1421 Orust,industrial buildings,..,..,..,..,..,81,101,113,147,137
1421 Orust,total,287,301,327,442,457,113,136,149,184,176
1427 Sotenäs,one- or two dwelling buildings,443,395,415,566,561,..,..,..,..,..
1427 Sotenäs,multi-dwelling and commercial buildings,75,72,77,83,89,51,57,59,67,63
1427 Sotenäs,industrial buildings,..,..,..,4,6,143,141,149,169,169
1427 Sotenäs,total,518,467,492,653,657,194,197,208,236,232
1430 Munkedal,one- or two dwelling buildings,210,212,218,226,233,..,..,..,..,..
1430 Munkedal,multi-dwelling and commercial buildings,62,63,65,69,74,48,46,47,50,48
1430 Munkedal,industrial buildings,..,..,..,..,..,101,114,118,101,134
1430 Munkedal,total,272,275,283,296,307,150,160,165,151,182
1435 Tanum,one- or two dwelling buildings,199,214,228,311,344,..,..,..,..,..
